timestamp,backend,kafka_cpu_pct,kafka_mem_mib,redis_cpu_pct,redis_mem_mib
2026-06-12 20:06:11.451,redis,1.69,1105.92,2.73,138.5
2026-06-12 20:06:13.065,redis,1.62,1105.92,4.5,138.5
2026-06-12 20:06:15.051,redis,1.59,1105.92,21.2,139.8
2026-06-12 20:06:17.069,redis,1.82,1105.92,0.24,140.3
2026-06-12 20:06:19.073,redis,1.52,1105.92,0.25,140.3
2026-06-12 20:06:21.074,redis,1.57,1105.92,0.23,140.3
2026-06-12 20:06:23.090,redis,1.43,1105.92,0.26,140.3
2026-06-12 20:06:25.108,redis,1.66,1105.92,0.26,140.3
2026-06-12 20:06:27.129,redis,1.61,1105.92,0.27,140.3
2026-06-12 20:06:29.123,redis,1.49,1105.92,0.22,140.3
2026-06-12 20:06:31.138,redis,1.53,1105.92,0.23,140.3
