load_pct,rep,valid,discarded_total,discarded_zero,discarded_negative,most_negative_micros,kept,pub_lines
0,1,1,117290,117290,0,0,3150,24
0,2,1,119873,119873,0,0,499,24
0,3,1,13,13,0,0,120404,24
0,4,1,10,10,0,0,120398,24
0,5,1,72985,72985,0,0,47432,24
0,6,1,1,1,0,0,120437,24
0,7,1,119907,119907,0,0,531,24
0,8,1,116938,116938,0,0,3500,24
0,9,1,119236,119236,0,0,1201,24
0,10,1,111603,111603,0,0,8846,24
