annotation_s,annotation_ms,transport_ms,inference_ms,total_ms,transport_share,annotation_share,transport_share_pct
1.0,1000.0,105.463,0.0,1105.463,0.09540165523405125,0.9045983447659488,9.540165523405125
1.1244372275696026,1124.4372275696026,105.463,0.0,1229.9002275696025,0.08574923204006939,0.9142507679599307,8.57492320400694
1.2643590787444141,1264.359078744414,105.463,0.0,1369.822078744414,0.07699029066363708,0.923009709336363,7.699029066363708
1.4216924171558258,1421.6924171558258,105.463,0.0,1527.1554171558257,0.06905845915565967,0.9309415408443403,6.905845915565967
1.5986038800034237,1598.6038800034237,105.463,0.0,1704.0668800034236,0.06188900285403593,0.9381109971459641,6.1889002854035935
1.7975297148130591,1797.5297148130592,105.463,0.0,1902.9927148130591,0.05541955004823031,0.9445804499517697,5.541955004823031
2.0212093289983746,2021.2093289983745,105.463,0.0,2126.6723289983747,0.04959062031416528,0.9504093796858346,4.959062031416528
2.272723014236749,2272.7230142367493,105.463,0.0,2378.1860142367495,0.04434598444724564,0.9556540155527543,4.434598444724564
2.5555343651620004,2555.5343651620005,105.463,0.0,2660.9973651620007,0.039632884038417464,0.9603671159615824,3.9632884038417466
2.8735379765216043,2873.5379765216044,105.463,0.0,2979.0009765216046,0.03540213676705223,0.9645978632329477,3.540213676705223
3.231113075635918,3231.113075635918,105.463,0.0,3336.576075635918,0.03160815087361669,0.9683918491263832,3.160815087361669
3.6331838287319433,3633.1838287319433,105.463,0.0,3738.6468287319435,0.028208869366719624,0.9717911306332804,2.8208869366719624
4.08528715163006,4085.2871516300597,105.463,0.0,4190.75015163006,0.025165661560372064,0.9748343384396279,2.5165661560372063
4.593648958604623,4593.648958604623,105.463,0.0,4699.1119586046225,0.022443176695733952,0.9775568233042661,2.244317669573395
5.165269899441374,5165.269899441374,105.463,0.0,5270.732899441374,0.020009171781627873,0.9799908282183721,2.000917178162787
5.808021765376578,5808.0217653765785,105.463,0.0,5913.484765376578,0.01783432344621657,0.9821656765537835,1.783432344621657
6.530755891523949,6530.755891523949,105.463,0.0,6636.2188915239485,0.015892031550481505,0.9841079684495185,1.5892031550481505
7.343425048599037,7343.425048599037,105.463,0.0,7448.888048599037,0.014158220570899188,0.9858417794291009,1.415822057089919
8.257220502511876,8257.220502511876,105.463,0.0,8362.683502511876,0.012611143297282787,0.9873888567027173,1.2611143297282787
9.284726129275331,9284.72612927533,105.463,0.0,9390.18912927533,0.011231190186702758,0.9887688098132973,1.1231190186702757
10.4400917075454,10440.0917075454,105.463,0.0,10545.5547075454,0.010000706736132207,0.9899992932638678,1.0000706736132208
11.739227775204753,11739.227775204754,105.463,0.0,11844.690775204754,0.008903820454373736,0.9910961795456262,0.8903820454373736
13.200024733359303,13200.024733359303,105.463,0.0,13305.487733359303,0.007926278398317175,0.9920737216016828,0.7926278398317175
14.842599215028713,14842.599215028713,105.463,0.0,14948.062215028713,0.0070552957622806774,0.9929447042377193,0.7055295762280678
16.68957111127365,16689.57111127365,105.463,0.0,16795.03411127365,0.00627941564758169,0.9937205843524183,0.627941564758169
18.76637506968627,18766.37506968627,105.463,0.0,18871.83806968627,0.00558837987113744,0.9944116201288625,0.558837987113744
21.101610754889343,21101.61075488934,105.463,0.0,21207.07375488934,0.004973010478434596,0.9950269895215654,0.4973010478434595
23.727436694480676,23727.436694480675,105.463,0.0,23832.899694480675,0.004425101492137089,0.995574898507863,0.44251014921370885
26.6800131340751,26680.0131340751,105.463,0.0,26785.4761340751,0.003937320340026937,0.9960626796599731,0.39373203400269374
29.999999999999996,29999.999999999996,105.463,0.0,30105.462999999996,0.0035031183543000155,0.9964968816456999,0.35031183543000155
