backend,config,decision_staleness_prob_s,mean_decisive_latency_ms,n_decisive
kafka,cluster,6.717962903689524,8072.5190748,1.32
kafka,single,0.977505086030713,1175.5361952256944,2.96875
redis,cluster,16.538990576143853,19874.672152098763,3.0
redis,single,8.358422558267751,10045.303772217127,3.0
