run_id,backend,config,n_concurrency,decision_staleness_prob_s,n_decisive,mean_decisive_latency_ms
concurrency_n10_20260617_221536_kafka_feed3_rep3,kafka,cluster,10,17.757483985790678,3,21343.566211666668
concurrency_n10_20260617_221536_kafka_feed4_rep1,kafka,cluster,10,11.752443251246895,3,14118.579945
concurrency_n10_20260617_221536_kafka_feed4_rep2,kafka,cluster,10,0.0,0,0.0
concurrency_n10_20260617_221536_kafka_feed4_rep3,kafka,cluster,10,0.0,0,0.0
concurrency_n10_20260617_221536_kafka_feed5_rep1,kafka,cluster,10,16.958271939522703,3,20379.968644999997
concurrency_n10_20260617_221536_kafka_feed5_rep2,kafka,cluster,10,10.319114775007092,3,12397.533511666667
concurrency_n10_20260617_221536_kafka_feed5_rep3,kafka,cluster,10,16.267686433050045,3,19550.771111666665
concurrency_n10_20260617_221536_kafka_feed6_rep1,kafka,cluster,10,14.35456471365369,3,17243.972145000003
concurrency_n10_20260617_221536_kafka_feed6_rep2,kafka,cluster,10,0.0,0,0.0
concurrency_n10_20260617_221536_kafka_feed6_rep3,kafka,cluster,10,0.0,0,0.0
concurrency_n10_20260617_221536_kafka_feed7_rep1,kafka,cluster,10,0.0,0,0.0
concurrency_n10_20260617_221536_kafka_feed7_rep2,kafka,cluster,10,0.0,0,0.0
concurrency_n10_20260617_221536_kafka_feed7_rep3,kafka,cluster,10,17.451923287717523,3,20972.883945000005
concurrency_n10_20260617_221536_kafka_feed8_rep1,kafka,cluster,10,15.21476931120161,3,18282.322578333333
concurrency_n10_20260617_221536_kafka_feed8_rep2,kafka,cluster,10,0.0,0,0.0
concurrency_n10_20260617_221536_kafka_feed8_rep3,kafka,cluster,10,13.157752258012835,3,15810.256244999999
concurrency_n10_20260617_221536_kafka_feed9_rep1,kafka,cluster,10,0.0,0,0.0
concurrency_n10_20260617_221536_kafka_feed9_rep2,kafka,cluster,10,0.0,0,0.0
concurrency_n10_20260617_221536_kafka_feed9_rep3,kafka,cluster,10,0.0,0,0.0
concurrency_n10_20260617_221536_redis_feed10_rep1,redis,cluster,10,10.981453292350238,3,13195.913244999998
concurrency_n10_20260617_221536_redis_feed10_rep2,redis,cluster,10,9.562266323864197,3,11489.829445000001
concurrency_n10_20260617_221536_redis_feed10_rep3,redis,cluster,10,11.269136676312495,3,13541.056944999998
concurrency_n10_20260617_221536_redis_feed1_rep1,redis,cluster,10,12.810428608944221,3,15394.120345000001
concurrency_n10_20260617_221536_redis_feed1_rep2,redis,cluster,10,11.0637834099146,3,13293.338611666666
concurrency_n10_20260617_221536_redis_feed1_rep3,redis,cluster,10,13.063792249149635,3,15696.846111666664
concurrency_n10_20260617_221536_redis_feed2_rep1,redis,cluster,10,12.810970092325116,3,15394.667544999998
concurrency_n10_20260617_221536_redis_feed2_rep2,redis,cluster,10,12.277000623900776,3,14751.050578333334
