timestamp,backend,kafka_cpu_pct,kafka_mem_mib,redis_cpu_pct,redis_mem_mib
2026-06-12 20:09:05.028,redis,1.56,1104.9,0.31,141.2
2026-06-12 20:09:06.776,redis,1.55,1104.9,7.32,141.2
2026-06-12 20:09:08.745,redis,1.34,1104.9,20.86,142.6
2026-06-12 20:09:10.754,redis,1.76,1104.9,0.24,142.6
2026-06-12 20:09:12.757,redis,1.65,1104.9,0.45,142.8
2026-06-12 20:09:14.776,redis,1.59,1104.9,0.26,142.8
2026-06-12 20:09:16.794,redis,1.72,1104.9,0.25,142.8
2026-06-12 20:09:18.785,redis,1.46,1104.9,0.25,142.8
2026-06-12 20:09:20.808,redis,1.85,1104.9,0.25,142.8
2026-06-12 20:09:22.814,redis,1.7,1104.9,0.23,142.8
2026-06-12 20:09:24.831,redis,1.47,1104.9,0.24,142.8
