timestamp,backend,kafka_cpu_pct,kafka_mem_mib,redis_cpu_pct,redis_mem_mib
2026-06-12 19:31:04.917,redis,1.49,1104.9,0.25,130.1
2026-06-12 19:31:07.068,redis,1.46,1104.9,14.21,130.9
2026-06-12 19:31:09.047,redis,1.39,1104.9,17.68,131.7
2026-06-12 19:31:11.056,redis,1.63,1104.9,0.24,131.7
2026-06-12 19:31:13.080,redis,1.41,1104.9,0.25,131.7
2026-06-12 19:31:15.088,redis,1.48,1104.9,0.22,131.7
2026-06-12 19:31:17.101,redis,1.75,1104.9,0.25,131.7
2026-06-12 19:31:19.108,redis,1.46,1104.9,0.24,131.7
2026-06-12 19:31:21.123,redis,1.49,1104.9,0.26,131.7
2026-06-12 19:31:23.120,redis,1.38,1104.9,0.25,131.7
