backend,config,n,tti_p50,tti_p95,transport_p50,transport_p95,schedlag_p50,n_runs
kafka,single,10,4817.829917,6983.022707,4441.5248,6750.54825,308.53070049999997,30
redis,single,10,6857.96946675,8587.26165535,5793.2534,7575.973255,817.6253335,30
