event_id,client,t_target_ns,t_wake_ns,t_send_ns,t_after_produce_ns,wake_late_ms,produce_ms
69bb4fa7-f177-49a8-9b19-7c01cd9d9a9c,redis-py,1784866863355898785,1784866863356225044,1784866863356249651,1784866863356577592,0.326259,0.327941
9790a466-9c56-42aa-96aa-a9ad1a6f8811,redis-py,1784866863355898785,1784866863356641619,1784866863356655120,1784866863356920736,0.742834,0.265616
c6762724-3ad0-4ed1-b232-7f32ac192ec6,redis-py,1784866863355898785,1784866863356978874,1784866863356991824,1784866863357358543,1.080089,0.366719
ba22283a-c920-448c-804e-3737cccd9fff,redis-py,1784866863355898785,1784866863357418946,1784866863357431184,1784866863358198376,1.520161,0.767192
9a50295b-7f7a-449c-9ef3-87e60467e8e1,redis-py,1784866863355898785,1784866863358256735,1784866863358268132,1784866863358569633,2.35795,0.301501
17c0df03-219a-4603-befe-8cd2f58d6d47,redis-py,1784866864355938786,1784866864356973936,1784866864357022911,1784866864357060959,1.03515,0.038048
6c4c62f2-7d95-4094-a714-50c0161ee2e6,redis-py,1784866864355938786,1784866864357283679,1784866864357296999,1784866864357304781,1.344893,0.007782
15bf07b2-c5b7-4074-8693-1d9e4a5b7153,redis-py,1784866866356018789,1784866866358056064,1784866866358138950,1784866866358186563,2.037275,0.047613
3c689040-9b59-4fad-8456-48b2ec8a2058,redis-py,1784866866356018789,1784866866358419739,1784866866358432799,1784866866358441683,2.40095,0.008884
88661240-834a-430d-8629-b37b64dbcddc,redis-py,1784866867356058791,1784866867357093211,1784866867357139591,1784866867357181305,1.03442,0.041714
98e575e4-0886-40e5-96a8-9c9f857ebcc1,redis-py,1784866869356138794,1784866869358182396,1784866869358237960,1784866869358278232,2.043602,0.040272
f019df08-0da5-48d9-a838-1da35f369c3c,redis-py,1784866869356138794,1784866869358505999,1784866869358518139,1784866869358525409,2.367205,0.00727
1d75ee1b-f1e8-43ab-a31d-cc0805acd5e2,redis-py,1784866871356218797,1784866871358256973,1784866871358313159,1784866871358352719,2.038176,0.03956
8f1fbe41-034b-43eb-9585-edbb0aadb7ba,redis-py,1784866872356258799,1784866872357288134,1784866872357332862,1784866872357369588,1.029335,0.036726
4127d02c-6da9-47dc-b26f-40da7d121a92,redis-py,1784866872356258799,1784866872357562052,1784866872357574601,1784866872357582814,1.303253,0.008213
585a8685-12a2-418f-91a6-4d2a02ad8430,redis-py,1784866875356378804,1784866875359412467,1784866875359464427,1784866875359501794,3.033663,0.037367
54f1c83c-f7c4-4413-8a2a-69aaac9bec05,redis-py,1784866876356418805,1784866876357449289,1784866876357493598,1784866876357529082,1.030484,0.035484
50fa5c47-ce69-41d3-bf4a-29b4f86d02fd,redis-py,1784866876356418805,1784866876357732342,1784866876357745031,1784866876357751991,1.313537,0.00696
93753357-15d4-4424-9899-669adf6f34ea,redis-py,1784866877356458807,1784866877357495158,1784866877357541479,1784866877357577524,1.036351,0.036045
