event_id,client,t_target_ns,t_wake_ns,t_send_ns,t_after_produce_ns,wake_late_ms,produce_ms
69bb4fa7-f177-49a8-9b19-7c01cd9d9a9c,redis-py,1784865345184691430,1784865345184956445,1784865345184980642,1784865345185310766,0.265015,0.330124
9790a466-9c56-42aa-96aa-a9ad1a6f8811,redis-py,1784865345184691430,1784865345185375244,1784865345185387974,1784865345185659678,0.683814,0.271704
c6762724-3ad0-4ed1-b232-7f32ac192ec6,redis-py,1784865345184691430,1784865345185716425,1784865345185727242,1784865345186100532,1.024995,0.37329
ba22283a-c920-448c-804e-3737cccd9fff,redis-py,1784865345184691430,1784865345186164119,1784865345186175366,1784865345186382161,1.472689,0.206795
9a50295b-7f7a-449c-9ef3-87e60467e8e1,redis-py,1784865345184691430,1784865345186437126,1784865345186447191,1784865345187262947,1.745696,0.815756
17c0df03-219a-4603-befe-8cd2f58d6d47,redis-py,1784865346184731431,1784865346185764571,1784865346185814807,1784865346185855499,1.03314,0.040692
6c4c62f2-7d95-4094-a714-50c0161ee2e6,redis-py,1784865346184731431,1784865346186058899,1784865346186089987,1784865346186097758,1.327468,0.007771
15bf07b2-c5b7-4074-8693-1d9e4a5b7153,redis-py,1784865348184811434,1784865348186852223,1784865348186911133,1784865348186953527,2.040789,0.042394
3c689040-9b59-4fad-8456-48b2ec8a2058,redis-py,1784865348184811434,1784865348187212152,1784865348187224711,1784865348187232724,2.400718,0.008013
88661240-834a-430d-8629-b37b64dbcddc,redis-py,1784865349184851436,1784865349185886571,1784865349185932370,1784865349185969377,1.035135,0.037007
98e575e4-0886-40e5-96a8-9c9f857ebcc1,redis-py,1784865351184931439,1784865351186974343,1784865351187033993,1784865351187093014,2.042904,0.059021
f019df08-0da5-48d9-a838-1da35f369c3c,redis-py,1784865351184931439,1784865351187330206,1784865351187343686,1784865351187352921,2.398767,0.009235
1d75ee1b-f1e8-43ab-a31d-cc0805acd5e2,redis-py,1784865353185011442,1784865353187053425,1784865353187123573,1784865353187171205,2.041983,0.047632
8f1fbe41-034b-43eb-9585-edbb0aadb7ba,redis-py,1784865354185051444,1784865354186086137,1784865354186138286,1784865354186176725,1.034693,0.038439
4127d02c-6da9-47dc-b26f-40da7d121a92,redis-py,1784865354185051444,1784865354186384733,1784865354186396781,1784865354186404723,1.333289,0.007942
585a8685-12a2-418f-91a6-4d2a02ad8430,redis-py,1784865357185171449,1784865357188214772,1784865357188270927,1784865357188312110,3.043323,0.041183
54f1c83c-f7c4-4413-8a2a-69aaac9bec05,redis-py,1784865358185211450,1784865358186241311,1784865358186288112,1784865358186326951,1.029861,0.038839
50fa5c47-ce69-41d3-bf4a-29b4f86d02fd,redis-py,1784865358185211450,1784865358186530853,1784865358186543803,1784865358186551915,1.319403,0.008112
93753357-15d4-4424-9899-669adf6f34ea,redis-py,1784865359185251452,1784865359186287575,1784865359186333095,1784865359186370612,1.036123,0.037517
bf8ecf65-adbc-42d1-99f7-c48a6ef2ec06,redis-py,1784865360185291454,1784865360186328290,1784865360186377095,1784865360186416104,1.036836,0.039009
67f9bdbc-8feb-49b2-b7fe-705375aac0db,redis-py,1784865360185291454,1784865360186612394,1784865360186624102,1784865360186631974,1.32094,0.007872
86a2db30-3020-4a3a-af2f-3b1d59b73adc,redis-py,1784865362185371457,1784865362187414167,1784865362187467868,1784865362187507739,2.04271,0.039871
da618d2e-27e6-47f5-ba91-a32d880fc3f3,redis-py,1784865363185411458,1784865363186444113,1784865363186491786,1784865363186530144,1.032655,0.038358
c6085c22-483f-4a4b-a3a7-27fbee22ae65,redis-py,1784865363185411458,1784865363186730250,1784865363186741898,1784865363186749640,1.318792,0.007742
5ecff428-f7e5-4098-a070-003bae61d520,redis-py,1784865363185411458,1784865363186797262,1784865363186806496,1784865363186812014,1.385804,0.005518
a6f33202-5449-458f-8473-9c4274528e11,redis-py,1784865365185491462,1784865365187530700,1784865365187586094,1784865365187627267,2.039238,0.041173
ce0cff7d-de0c-4e19-8496-2dd948d69413,redis-py,1784865366185531463,1784865366186571656,1784865366186616635,1784865366186656456,1.040193,0.039821
ebaf6e35-461e-411b-a4c6-bd8c8807ed4b,redis-py,1784865366185531463,1784865366186857563,1784865366186869350,1784865366186877332,1.3261,0.007982
9a40ee6a-81c2-48c1-b86d-7b611f1cbad9,redis-py,1784865367185571465,1784865367186605477,1784865367186651779,1784865367186690989,1.034012,0.03921
064b72e5-2907-4fec-ae0a-2108f5e8524f,redis-py,1784865367185571465,1784865367186892095,1784865367186904584,1784865367186912456,1.32063,0.007872
bf131dfc-aa54-477b-aa3a-fe427e0f5a4d,redis-py,1784865368185611466,1784865368186649949,1784865368186697281,1784865368186734428,1.038483,0.037147
24fa959e-ad78-4dfb-9cf7-ff352947271c,redis-py,1784865370185691470,1784865370187730911,1784865370187784153,1784865370187827058,2.039441,0.042905
03f103fa-f1fc-463e-87d9-cd3db62d4291,redis-py,1784865370185691470,1784865370188051160,1784865370188084932,1784865370188093255,2.35969,0.008323
da6d72e8-314a-4232-892f-7f2b7aa233da,redis-py,1784865370185691470,1784865370188154718,1784865370188164824,1784865370188171744,2.463248,0.00692
87c20b3f-2fe3-4696-b387-5997a79262eb,redis-py,1784865372185771473,1784865372187819090,1784865372187873763,1784865372187915858,2.047617,0.042095
ce148b24-1185-48a7-bc22-d593e8115f3c,redis-py,1784865372185771473,1784865372188172930,1784865372188185640,1784865372188194564,2.401457,0.008924
f2148745-955f-4ae6-99fc-7eea72344f5c,redis-py,1784865373185811474,1784865373186843418,1784865373186888617,1784865373186927807,1.031944,0.03919
914c3940-48b4-4246-bd08-2b34e8349649,redis-py,1784865374185851476,1784865374186889449,1784865374186933677,1784865374186971635,1.037973,0.037958
87666b3c-fae0-4ec8-a71d-c2d3be7beb84,redis-py,1784865391186531503,1784865391203581802,1784865391203649536,1784865391203698270,17.050299,0.048734
351f7fc6-14b7-46ba-9fb9-04f41961ded3,redis-py,1784865392186571505,1784865392187591262,1784865392187643631,1784865392187681499,1.019757,0.037868
fdc51a4b-28c8-4fce-84e7-171fe7b1d4b6,redis-py,1784865392186571505,1784865392187889687,1784865392187901685,1784865392187909127,1.318182,0.007442
96bd8297-91b0-47fc-a7b2-2c433ec2e694,redis-py,1784865393186611506,1784865393187647913,1784865393187695094,1784865393187734555,1.036407,0.039461
8d0349fb-568c-440c-9069-42adbf1f9c3a,redis-py,1784865393186611506,1784865393187936843,1784865393187948682,1784865393187956283,1.325337,0.007601
47018dac-e300-4c82-be64-a8bc5b624fe0,redis-py,1784865395186691510,1784865395188731288,1784865395188783148,1784865395188823890,2.039778,0.040742
e3fd3a05-da3c-47a0-a92c-2719348c579e,redis-py,1784865395186691510,1784865395189044927,1784865395189056355,1784865395189081753,2.353417,0.025398
6a0f8b8e-4e1b-42ee-b523-30b9a57b096e,redis-py,1784865396186731511,1784865396187760784,1784865396187804842,1784865396187842189,1.029273,0.037347
439b5ce9-bc81-47ba-8976-7bcd6b7de738,redis-py,1784865398186811514,1784865398188852254,1784865398188907097,1784865398188951295,2.04074,0.044198
65bd167c-af9e-4117-a832-2bd3eab41c47,redis-py,1784865398186811514,1784865398189206845,1784865398189219404,1784865398189227296,2.395331,0.007892
d626a450-651a-452f-8bd2-40bd73e5570f,redis-py,1784865399186851516,1784865399187883135,1784865399187927152,1784865399187965300,1.031619,0.038148
