backend,config,n,tti_p50,tti_p95,transport_p50,transport_p95,schedlag_p50,n_runs
kafka,single,5,77.766731,219.7209765,20.779161000000002,24.7541874,37.009456,15
redis,single,5,31401.20169,35399.3197376,31267.639335,35239.720170600005,104.350399,15
