timestamp,backend,kafka_cpu_pct,kafka_mem_mib,redis_cpu_pct,redis_mem_mib
2026-06-12 20:02:31.279,kafka,122.41,1166.34,0.21,136.6
2026-06-12 20:02:33.904,kafka,1.53,1117.18,0.21,136.6
2026-06-12 20:02:35.887,kafka,32.17,1117.18,0.22,136.6
2026-06-12 20:02:37.897,kafka,35.29,1118.21,0.2,136.6
2026-06-12 20:02:39.904,kafka,33.65,1118.21,0.21,136.6
2026-06-12 20:02:41.917,kafka,17.61,1119.23,0.21,136.6
2026-06-12 20:02:43.918,kafka,1.52,1119.23,0.24,136.6
2026-06-12 20:02:45.931,kafka,1.76,1119.23,0.25,136.6
2026-06-12 20:02:47.950,kafka,1.64,1119.23,0.22,136.6
2026-06-12 20:02:49.955,kafka,1.56,1118.21,0.23,136.9
