backend,config,n,tti_p50,tti_p95,transport_p50,transport_p95,schedlag_p50,n_runs
kafka,single,10,14.54521675,31.0810335,1.74135,5.67265,7.302134,30
redis,single,10,15.705133499999999,50.879924524999915,2.5293,14.758119999999597,10.135375,30
