,,p50,p50,p95,p95,match_rate_pct,throughput_events_per_sec
,,mean,std,mean,std,mean,mean
backend,n,,,,,,
kafka,5,11758.15,7055.84,20685.85,13525.84,100.0,6.91
kafka,10,11564.77,6866.46,20358.91,13061.68,100.0,7.12
kafka,20,11451.71,6572.68,20075.4,12495.23,100.0,6.91
redis,5,6303.39,6658.88,8413.28,6943.15,100.0,6.91
redis,10,7421.74,8458.28,9554.88,9206.28,100.0,6.91
redis,20,9555.07,9988.45,11753.91,10647.43,100.0,6.91
