row_idx,match_id,event_id,period,minute,second,t_sim_seconds,t_emit_offset_s,event_type,team,player,timestamp,possession
903,3895107,95e6987e-d7b1-4e9a-bc78-e3fc85f01633,1,20,4,1204,10.033333333333333,Pass,Bayer Leverkusen,Florian Wirtz,00:20:04.342,43
904,3895107,127b6391-fe53-40d8-8cf3-9b73dc5d4aed,1,20,4,1204,10.033333333333333,Ball Receipt*,Bayer Leverkusen,Jonas Hofmann,00:20:04.922,43
905,3895107,0fa53e7b-c60a-4e0c-ae77-1114f85f533d,1,20,4,1204,10.033333333333333,Carry,Bayer Leverkusen,Jonas Hofmann,00:20:04.922,43
906,3895107,1aed0be5-ea0e-40a6-af0c-34d110a2be0e,1,20,4,1204,10.033333333333333,Pass,Bayer Leverkusen,Jonas Hofmann,00:20:04.962,43
907,3895107,e085854c-217f-463b-b6ee-21c55eec29a1,1,20,6,1206,10.05,Ball Receipt*,Bayer Leverkusen,Victor Okoh Boniface,00:20:06.812,43
908,3895107,2469e65c-55e8-4ebd-ad87-415de9b3727a,1,20,6,1206,10.05,Pass,FC Köln,Florian Kainz,00:20:06.812,43
909,3895107,dde65c6f-1ad2-4a58-a419-3ab561a6a040,1,20,7,1207,10.058333333333334,Pressure,Bayer Leverkusen,Jonas Hofmann,00:20:07.486,43
910,3895107,2873851f-920f-47db-b797-045cbe77cbc3,1,20,7,1207,10.058333333333334,Ball Receipt*,FC Köln,Leart Paqarada,00:20:07.744,43
911,3895107,13151b40-0048-4aa9-b374-282ca4316135,1,20,7,1207,10.058333333333334,Pass,FC Köln,Leart Paqarada,00:20:07.744,43
912,3895107,f2fa42a9-d85f-4bd2-b4f0-d4ddc4c77567,1,20,10,1210,10.083333333333334,Ball Receipt*,FC Köln,Faride Alidou,00:20:10.433,43
913,3895107,e7dcd883-f475-42e6-977f-3547de93722f,1,20,10,1210,10.083333333333334,Ball Recovery,Bayer Leverkusen,Jonathan Tah,00:20:10.433,43
914,3895107,b1c27c2d-3f2d-44c3-8d3f-10c07b780d40,1,20,10,1210,10.083333333333334,Carry,Bayer Leverkusen,Jonathan Tah,00:20:10.433,43
915,3895107,34c0ef48-fb0b-408b-8264-328ad1555611,1,20,15,1215,10.125,Pass,Bayer Leverkusen,Jonathan Tah,00:20:15.656,43
916,3895107,89e6caad-05cd-48ac-9ddb-b03f4bcd65c8,1,20,17,1217,10.141666666666667,Ball Receipt*,Bayer Leverkusen,Edmond Fayçal Tapsoba,00:20:17.070,43
917,3895107,5b429d7b-3b22-4fef-81dd-5d4409cdb171,1,20,17,1217,10.141666666666667,Carry,Bayer Leverkusen,Edmond Fayçal Tapsoba,00:20:17.070,43
918,3895107,5da70df2-cddd-4132-8b2c-747bbe2663fd,1,20,18,1218,10.15,Pass,Bayer Leverkusen,Edmond Fayçal Tapsoba,00:20:18.875,43
