n,margin,n_kafka,n_redis,mean_kafka,mean_redis,mean_diff,ci90_lo,ci90_hi,p_tost,equivalent,boot_diff,boot_ci90_lo,boot_ci90_hi,boot_p_tost,boot_equivalent,hl_shift,hl_ci90_lo,hl_ci90_hi,hl_p_tost,hl_equivalent,methods_agree
1,1.0,8,2,0.49506349999999993,0.114064,0.38099949999999994,0.3636857409079826,0.39831325909201726,8.336504602778589e-09,True,0.3810987574875,0.369355278125,0.39308306249999997,0.0,True,0.3806965,0.36562574999999997,0.39588475,0.0,True,True
9,1.0,62,33,0.5351431532258065,0.19204687878787882,0.3430962744379277,0.29023706694228424,0.3959554819335711,7.209818906205052e-21,True,0.34307187044941356,0.28952088123167163,0.3911466078201368,0.0,True,0.41370450000000003,0.4042765,0.42185967499999993,0.0,True,True
12,1.0,66,35,0.5359912727272726,0.20195075714285718,0.3340405155844155,0.2783075347830869,0.3897734963857441,4.71303671754971e-21,True,0.3336481362289394,0.27745597625541124,0.38435089809523804,0.0,True,0.41569675000000006,0.40440700000000007,0.42496832500000004,0.0,True,True
