timestamp,backend,kafka_cpu_pct,kafka_mem_mib,redis_cpu_pct,redis_mem_mib
2026-06-12 19:23:00.982,kafka,148.35,1175.55,0.22,129.6
2026-06-12 19:23:03.608,kafka,1.69,1116.16,0.22,129.6
2026-06-12 19:23:05.584,kafka,32.3,1116.16,0.21,129.6
2026-06-12 19:23:07.584,kafka,1.77,1116.16,0.23,129.6
2026-06-12 19:23:09.601,kafka,1.53,1116.16,0.24,129.6
2026-06-12 19:23:11.614,kafka,1.61,1116.16,0.24,129.6
2026-06-12 19:23:13.626,kafka,1.54,1116.16,0.22,129.6
2026-06-12 19:23:15.627,kafka,1.74,1116.16,0.23,129.6
2026-06-12 19:23:17.643,kafka,1.97,1116.16,0.23,129.6
2026-06-12 19:23:19.657,kafka,1.59,1116.16,0.23,129.6
2026-06-12 19:23:21.656,kafka,1.56,1116.16,0.22,129.6
2026-06-12 19:23:23.669,kafka,1.57,1116.16,0.23,129.6
2026-06-12 19:23:25.680,kafka,1.79,1116.16,0.22,129.6
2026-06-12 19:23:27.695,kafka,1.69,1116.16,0.21,129.5
2026-06-12 19:23:29.695,kafka,1.65,1116.16,0.23,129.5
2026-06-12 19:23:31.711,kafka,1.65,1116.16,0.22,129.5
2026-06-12 19:23:33.728,kafka,1.65,1116.16,0.23,129.5
2026-06-12 19:23:35.732,kafka,1.78,1103.87,0.25,129.5
2026-06-12 19:23:37.742,kafka,1.59,1103.87,0.23,129.5
