t_wall,rho,loadavg
1784959017.8822432,0.99002,6.15
1784959018.3830292,0.9675,6.15
1784959018.8862166,1.0,6.15
1784959019.3869991,1.0,6.15
1784959019.8877838,0.99751,6.15
1784959020.3882368,1.0,6.15
1784959020.8890216,0.98997,6.15
1784959021.3898218,0.94737,6.15
1784959021.8902452,0.94015,6.15
1784959022.3910494,0.935,6.46
1784959022.8918524,0.92231,6.46
1784959023.39424,0.8975,6.46
1784959023.8950064,0.885,6.46
1784959024.395795,0.885,6.46
1784959024.8962665,0.8803,6.46
1784959025.3970537,0.88,6.46
1784959025.8978422,0.8803,6.46
1784959026.3982549,0.88,6.46
1784959026.8990357,0.87,6.46
1784959027.4022663,0.88366,6.42
1784959027.903101,0.88221,6.42
1784959028.4038785,0.88,6.42
1784959028.9052691,0.87781,6.42
1784959029.406044,0.88,6.42
1784959029.9068186,0.885,6.42
1784959030.4075985,0.88308,6.42
1784959030.9112113,0.91315,6.42
1784959031.4120488,0.89724,6.42
1784959031.912857,0.8806,6.42
1784959032.4132705,0.88279,6.39
1784959032.9140816,0.8825,6.39
1784959033.4149404,0.88,6.39
1784959033.9173346,0.8806,6.39
1784959034.4202676,0.8806,6.39
1784959034.9210558,0.8803,6.39
1784959035.4219174,0.885,6.39
1784959035.9222503,0.87811,6.39
1784959036.4230216,0.8797,6.39
1784959036.9252713,0.88279,6.39
1784959037.4260771,0.88529,6.52
1784959037.9268632,0.87781,6.52
1784959038.4276571,0.88221,6.52
1784959038.9292731,0.87811,6.52
1784959039.4300787,0.88221,6.52
1784959039.9309378,0.88279,6.52
1784959040.4313574,0.88308,6.52
1784959040.935283,0.8806,6.52
1784959041.4360967,0.88,6.52
1784959041.9369075,0.8797,6.52
1784959042.438275,0.88089,6.48
1784959042.9390876,0.88221,6.48
1784959043.439879,0.88308,6.48
1784959043.9402606,0.88,6.48
1784959044.442324,0.88308,6.48
1784959044.9431918,0.8806,6.48
1784959045.4462736,0.88279,6.48
1784959045.947101,0.87531,6.48
1784959046.447895,0.87719,6.48
1784959046.9482663,0.88529,6.48
1784959047.4490404,0.8797,6.44
1784959047.94989,0.88221,6.44
1784959048.4503284,0.87811,6.44
1784959048.9512112,0.8825,6.44
1784959049.4542851,0.88308,6.44
1784959049.955104,0.88221,6.44
1784959050.4559214,0.8806,6.44
1784959050.9566982,0.8803,6.44
1784959051.459271,0.8825,6.44
1784959051.961265,0.88279,6.44
1784959052.4620867,0.8803,6.56
1784959052.9628623,0.8806,6.56
1784959053.46334,0.88,6.56
1784959053.9672685,0.88337,6.56
1784959054.4680803,0.885,6.56
1784959054.9689322,0.8825,6.56
1784959055.469276,0.8825,6.56
1784959055.9701307,0.8775,6.56
1784959056.4709523,0.88,6.56
1784959056.9717643,0.88279,6.56
1784959057.47236,0.88279,6.6
1784959057.973169,0.8803,6.6
1784959058.474268,0.8803,6.6
1784959058.9750624,0.88221,6.6
1784959059.4782739,0.88337,6.6
1784959059.979066,0.88,6.6
1784959060.4798648,0.8775,6.6
1784959060.9802709,0.88557,6.6
1784959061.4810429,0.8775,6.6
1784959061.9818406,0.8797,6.6
1784959062.4822772,0.88279,6.71
1784959062.9830809,0.87719,6.71
1784959063.4838724,0.87781,6.71
1784959063.985334,0.8806,6.71
1784959064.4861672,0.8803,6.71
1784959064.9869392,0.88221,6.71
1784959065.4877417,0.88,6.71
1784959065.9913044,0.88148,6.71
1784959066.4921389,0.885,6.71
1784959066.9929986,0.8803,6.71
1784959067.4938307,0.87781,6.73
1784959067.9942765,0.88221,6.73
1784959068.495083,0.885,6.73
1784959068.9959443,0.87811,6.73
1784959069.496858,0.8803,6.73
1784959069.9972582,0.8825,6.73
1784959070.498021,0.88279,6.73
1784959070.9988868,0.88221,6.73
1784959071.4997194,0.87781,6.73
1784959072.00228,0.88308,6.73
1784959072.503341,0.88586,6.84
1784959073.0052423,0.8825,6.84
1784959073.5060287,0.87781,6.84
1784959074.0068421,0.8825,6.84
1784959074.5073543,0.88529,6.84
1784959075.008983,0.8797,6.84
1784959075.5102894,0.8806,6.84
1784959076.012255,0.88279,6.84
1784959076.5130568,0.88221,6.84
1784959077.0139413,0.87781,6.84
1784959077.5172849,0.88557,6.93
1784959078.0180647,0.8803,6.93
1784959078.5189345,0.8775,6.93
1784959079.0197785,0.88279,6.93
1784959079.5212805,0.88308,6.93
1784959080.022059,0.87719,6.93
1784959080.523136,0.8825,6.93
1784959081.0239778,0.88279,6.93
1784959081.5272691,0.87871,6.93
1784959082.0280795,0.8775,6.93
1784959082.5288813,0.88,7.02
1784959083.0312843,0.8806,7.02
1784959083.532085,0.8825,7.02
1784959084.0328817,0.88279,7.02
1784959084.5336716,0.8775,7.02
1784959085.0362947,0.88089,7.02
1784959085.5370913,0.8825,7.02
1784959086.0381165,0.88279,7.02
