label,test,statistic,p_value,cohens_d,hedges_g,effect,ci_a,ci_b,normal,equal_var,n_a,n_b,mean_a,mean_b,p_adjusted,reject_after_correction,k_groups,n_total
kafka_vs_redis_overall,Mann-Whitney U,225.0,0.0009030694895713402,-1.1796415292725448,-1.1643215094118624,large,"(947.1645976309278, 1463.1143018357393)","(1859.1834265830717, 2638.0095906169286)",False,False,30.0,30.0,1205.1394497333335,2248.5965086,0.004515347447856701,True,,
kafka_vs_redis_cluster,Mann-Whitney U,12.0,3.356755084154065e-05,-2.827967736512552,-2.751536176066267,large,"(1438.4014450640534, 1816.9177496026127)","(2750.3553947140854, 3483.1270083525806)",False,True,15.0,15.0,1627.659597333333,3116.741201533333,0.00020140530504924388,True,,
kafka_vs_redis_single,Mann-Whitney U,45.0,0.005452139856940547,-1.0182361098155424,-0.9907162149556629,large,"(395.23070303233413, 1170.0079012343328)","(1132.7397918344905, 1628.1638394988427)",False,True,15.0,15.0,782.6193021333335,1380.4518156666666,0.01728108703464444,True,,
single_vs_cluster_kafka,Mann-Whitney U,45.0,0.005452139856940547,-1.534986439850373,-1.493500319854417,large,"(395.23070303233413, 1170.0079012343328)","(1438.4014450640534, 1816.9177496026127)",False,True,15.0,15.0,782.6193021333335,1627.659597333333,0.01728108703464444,True,,
single_vs_cluster_redis,Mann-Whitney U,9.0,1.9351827710442478e-05,-3.0746194772365047,-2.99152165352741,large,"(1132.7397918344905, 1628.1638394988427)","(2750.3553947140854, 3483.1270083525806)",False,True,15.0,15.0,1380.4518156666666,3116.741201533333,0.00013546279397309735,True,,
scenario_effect_kafka,Kruskal-Wallis,15.191397849462348,0.00432027175866111,,,,,,,,,,,,0.01728108703464444,True,5.0,30.0
scenario_effect_redis,Kruskal-Wallis,8.339784946236549,0.07989511371785037,,,,,,,,,,,,0.07989511371785037,False,5.0,30.0
