timestamp,backend,kafka_cpu_pct,kafka_mem_mib,redis_cpu_pct,redis_mem_mib
2026-06-12 19:25:06.137,redis,1.45,1103.87,2.71,129.6
2026-06-12 19:25:08.763,redis,1.43,1103.87,3.29,130.3
2026-06-12 19:25:10.723,redis,1.6,1103.87,0.25,130.3
2026-06-12 19:25:12.740,redis,1.51,1103.87,0.24,130.3
2026-06-12 19:25:14.750,redis,1.37,1103.87,0.24,130.3
2026-06-12 19:25:16.769,redis,1.43,1103.87,0.25,130.3
2026-06-12 19:25:18.779,redis,1.39,1104.9,0.26,130.3
2026-06-12 19:25:20.779,redis,1.67,1104.9,0.26,130.3
2026-06-12 19:25:22.808,redis,1.47,1103.87,0.25,130.3
2026-06-12 19:25:24.810,redis,1.42,1103.87,0.24,130.3
2026-06-12 19:25:26.821,redis,1.47,1103.87,0.25,130.3
2026-06-12 19:25:28.818,redis,1.31,1103.87,0.24,130.3
2026-06-12 19:25:30.840,redis,1.61,1103.87,0.25,130.3
2026-06-12 19:25:32.854,redis,1.54,1103.87,0.25,130.3
2026-06-12 19:25:34.869,redis,1.49,1103.87,0.26,130.3
2026-06-12 19:25:36.857,redis,1.36,1103.87,0.24,130.3
2026-06-12 19:25:38.877,redis,1.29,1103.87,0.23,130.3
2026-06-12 19:25:40.877,redis,1.67,1103.87,0.24,130.2
