timestamp,backend,kafka_cpu_pct,kafka_mem_mib,redis_cpu_pct,redis_mem_mib
2026-06-12 20:07:38.299,redis,1.51,1104.9,2.79,140.5
2026-06-12 20:07:40.915,redis,1.7,1104.9,21.09,141.1
2026-06-12 20:07:42.894,redis,1.62,1104.9,7.02,141.8
2026-06-12 20:07:44.904,redis,1.43,1104.9,0.24,141.8
2026-06-12 20:07:46.911,redis,1.47,1104.9,0.25,141.8
2026-06-12 20:07:48.917,redis,1.76,1104.9,0.24,141.8
2026-06-12 20:07:50.938,redis,1.7,1104.9,0.25,141.8
2026-06-12 20:07:52.942,redis,1.44,1104.9,0.27,141.8
2026-06-12 20:07:54.957,redis,1.58,1104.9,0.25,141.8
2026-06-12 20:07:56.972,redis,1.54,1104.9,0.25,141.8
