run_id,backend,topic,partition,offset,t_consume_ns,event_id,match_id,t_sim_seconds,t_emit_offset_s,t_emit_planned_ns,s3_uid,s3_rev,s3_is_correction
concurrency_n10_20260613_002010_kafka_feed7_rep1,kafka,sb-events-n10-feed7-rep1,2,181,6775909900,69bb4fa7-f177-49a8-9b19-7c01cd9d9a9c,3895052,0,0.0,4595375300,3895052:69bb4fa7-f177-49a8-9b19-7c01cd9d9a9c,1,False
concurrency_n10_20260613_002010_kafka_feed7_rep1,kafka,sb-events-n10-feed7-rep1,1,209,6786031800,207c41be-4905-457d-af38-e356b67981de,3895060,0,0.0,4595375300,3895060:207c41be-4905-457d-af38-e356b67981de,1,False
concurrency_n10_20260613_002010_kafka_feed7_rep1,kafka,sb-events-n10-feed7-rep1,0,194,6795230200,7eb000ee-2ef0-462a-bd57-e4320f459c68,3895067,0,0.0,4595375300,3895067:7eb000ee-2ef0-462a-bd57-e4320f459c68,1,False
concurrency_n10_20260613_002010_kafka_feed7_rep1,kafka,sb-events-n10-feed7-rep1,2,182,6804551100,664c81bb-315d-4de4-86d5-f326eebf0684,3895074,0,0.0,4595375300,3895074:664c81bb-315d-4de4-86d5-f326eebf0684,1,False
concurrency_n10_20260613_002010_kafka_feed7_rep1,kafka,sb-events-n10-feed7-rep1,0,195,6813090900,6c9ebdf9-117f-4a31-8b52-ebcf3c35d0c6,3895086,0,0.0,4595375300,3895086:6c9ebdf9-117f-4a31-8b52-ebcf3c35d0c6,1,False
concurrency_n10_20260613_002010_kafka_feed7_rep1,kafka,sb-events-n10-feed7-rep1,1,210,6821199300,9790a466-9c56-42aa-96aa-a9ad1a6f8811,3895052,0,0.0,4595375300,3895052:9790a466-9c56-42aa-96aa-a9ad1a6f8811,1,False
concurrency_n10_20260613_002010_kafka_feed7_rep1,kafka,sb-events-n10-feed7-rep1,0,196,6832328900,fefef503-f3cc-4d41-9b3f-9ddc57b6a93b,3895060,0,0.0,4595375300,3895060:fefef503-f3cc-4d41-9b3f-9ddc57b6a93b,1,False
concurrency_n10_20260613_002010_kafka_feed7_rep1,kafka,sb-events-n10-feed7-rep1,2,183,6838641800,d593adb3-8980-46f6-b384-4a91f4ec01ba,3895067,0,0.0,4595375300,3895067:d593adb3-8980-46f6-b384-4a91f4ec01ba,1,False
concurrency_n10_20260613_002010_kafka_feed7_rep1,kafka,sb-events-n10-feed7-rep1,0,197,6848662200,3dd463f6-b445-407d-8120-bf6aeab35526,3895074,0,0.0,4595375300,3895074:3dd463f6-b445-407d-8120-bf6aeab35526,1,False
concurrency_n10_20260613_002010_kafka_feed7_rep1,kafka,sb-events-n10-feed7-rep1,0,198,6862543200,6755b1ac-4f37-4c35-b1ef-181d68375e7d,3895086,0,0.0,4595375300,3895086:6755b1ac-4f37-4c35-b1ef-181d68375e7d,1,False
concurrency_n10_20260613_002010_kafka_feed7_rep1,kafka,sb-events-n10-feed7-rep1,1,211,6865532500,c6762724-3ad0-4ed1-b232-7f32ac192ec6,3895052,0,0.0,4595375300,3895052:c6762724-3ad0-4ed1-b232-7f32ac192ec6,1,False
concurrency_n10_20260613_002010_kafka_feed7_rep1,kafka,sb-events-n10-feed7-rep1,0,199,6868283200,2f46ad65-50a4-4834-9bd9-86a61f034234,3895060,0,0.0,4595375300,3895060:2f46ad65-50a4-4834-9bd9-86a61f034234,1,False
concurrency_n10_20260613_002010_kafka_feed7_rep1,kafka,sb-events-n10-feed7-rep1,1,212,6880236000,a40403c7-74d7-45e6-ba91-5ebd6c313d8e,3895067,0,0.0,4595375300,3895067:a40403c7-74d7-45e6-ba91-5ebd6c313d8e,1,False
concurrency_n10_20260613_002010_kafka_feed7_rep1,kafka,sb-events-n10-feed7-rep1,0,200,6888889900,77f9b3e5-e0e4-4032-8228-089aa0dd578b,3895074,0,0.0,4595375300,3895074:77f9b3e5-e0e4-4032-8228-089aa0dd578b,1,False
