backend,config,n,tti_p50,tti_p95,transport_p50,transport_p95,schedlag_p50,n_runs
kafka,single,5,77.538041,204.79547839999998,18.850548,24.742173549999997,35.310094,15
redis,single,5,73598.441799,73769.36094740001,73467.682386,73686.84476020001,109.1456,15
