reference,reference_rps,model_rps,skill_score,n_states
uniform,0.24655728674850486,0.14218855786373477,0.42330417511135665,28240
base_rate,0.2372679817469043,0.14218855786373477,0.40072589307305495,28240
score_only,0.14601143889623922,0.14218855786373477,0.026182065332710835,28240
