label,test,statistic,p_value,cohens_d,hedges_g,effect,ci_a,ci_b,normal,equal_var,n_a,n_b,mean_a,mean_b,p_adjusted,reject_after_correction
kafka_vs_redis_overall,Mann-Whitney U,2794.0,1.842911765685727e-07,0.502142279480054,0.49894392101202817,medium,"(9855.860277273807, 13327.224042892858)","(5578.803768316945, 9941.331724749722)",False,True,60,60,11591.542160083332,7760.067746533333,3.685823531371454e-07,True
kafka_vs_redis_cluster,Mann-Whitney U,600.0,0.027086318388295935,0.7104699448552577,0.70124306245454,medium,"(16242.365375019846, 19095.94727258015)","(8383.114723336172, 16005.28388479716)",False,False,30,30,17669.156323799998,12194.199304066666,0.027086318388295935,True
kafka_vs_redis_single,Mann-Whitney U,864.0,9.75550113457629e-10,3.050182938402324,3.0105701729685275,large,"(5175.344770333933, 5852.511222399398)","(3156.0686210514514, 3495.8037569485496)",False,False,30,30,5513.927996366666,3325.9361890000005,2.9266503403728867e-09,True
