backend,config,n,tti_p50,tti_p95,transport_p50,transport_p95,schedlag_p50,n_runs
kafka,single,5,76.700152,220.5989265,18.5278205,24.518423549999998,37.67216,15
redis,single,5,68960.4456,72924.48973259999,68824.220759,72770.8014982,108.424468,15
