backend,config,n,tti_p50,tti_p95,transport_p50,transport_p95,schedlag_p50,n_runs
kafka,single,5,91.9313,3355.7014667999983,29.1226,3290.393,3.0861335,15
redis,single,5,85.007467,602.6422004,26.2319,52.0407,3.810067,15
