backend,config,n,tti_p50,tti_p95,transport_p50,transport_p95,schedlag_p50,n_runs
kafka,single,1,19.8497,57.529734,2.6492,6.4439,12.172867,3
kafka,single,5,28.694867,148.339634,5.4885,17.470059999999993,10.633434,15
kafka,single,10,2751.077409,10341.518912824999,202.046825,8092.2608,1815.277267,30
kafka,single,20,14356.462767,27249.390367,18.444,81.0174,14261.5669,50
redis,single,1,13.358917,24.135706999999996,3.8969,11.16601,7.4745,3
redis,single,5,540.952584,4116.4179156499995,514.46595,4094.4019,12.704567,15
redis,single,10,23609.881542000003,26974.087007000002,22832.477274999997,26621.0907325,610.5745,30
redis,single,20,84857.70495875,103114.972308825,75488.663,88135.1677,13576.514667,60
