t_wall,rho,loadavg
1784964528.754272,0.96742,1.35
1784964529.2582395,0.94541,1.35
1784964529.7589862,1.0,1.35
1784964530.2622259,0.99752,1.35
1784964530.7629635,1.0,1.35
1784964531.2632706,1.0,1.35
1784964531.7640486,0.96222,1.35
1784964532.2648249,0.8593,1.35
1784964532.765625,0.86683,1.35
1784964533.266786,0.87406,1.72
1784964533.7674255,0.8392,1.72
1784964534.2683117,0.78358,1.72
1784964534.77233,0.75682,1.72
1784964535.273242,0.75561,1.72
1784964535.7742653,0.75312,1.72
1784964536.2765913,0.75312,1.72
1784964536.777327,0.75,1.72
1784964537.2781565,0.75312,1.72
1784964537.778945,0.75,1.72
1784964538.2793028,0.755,2.14
1784964538.782253,0.75186,2.14
1784964539.2830596,0.75561,2.14
1784964539.7838604,0.74937,2.14
1784964540.284274,0.75062,2.14
1784964540.7850382,0.74937,2.14
1784964541.28828,0.74876,2.14
1784964541.7890592,0.76309,2.14
1784964542.2898796,0.75062,2.14
1784964542.7906795,0.75062,2.14
1784964543.2914379,0.7525,2.37
1784964543.7922575,0.7575,2.37
1784964544.2932718,0.745,2.37
1784964544.794294,0.76119,2.37
1784964545.2972324,0.75062,2.37
1784964545.798065,0.745,2.37
1784964546.298878,0.75622,2.37
1784964546.7992852,0.75689,2.37
1784964547.3001308,0.75062,2.37
1784964547.8032863,0.7606,2.37
1784964548.3040442,0.7575,2.34
1784964548.8062449,0.74564,2.34
1784964549.30702,0.8275,2.34
1784964549.8078492,0.76441,2.34
1784964550.3086884,0.76,2.34
1784964550.8092537,0.74129,2.34
1784964551.3102493,0.75561,2.34
1784964551.8132756,0.75931,2.34
1784964552.3140333,0.7375,2.34
1784964552.8162744,0.75622,2.34
1784964553.3170455,0.7575,2.72
1784964553.817863,0.74876,2.72
1784964554.320288,0.75,2.72
1784964554.8211071,0.7525,2.72
1784964555.3219306,0.75622,2.72
1784964555.82274,0.7475,2.72
1784964556.323544,0.75689,2.72
1784964556.824289,0.7581,2.72
1784964557.3250964,0.74129,2.72
1784964557.8272765,0.75561,2.72
1784964558.328076,0.76942,3.14
1784964558.8289392,0.76,3.14
1784964559.3297668,0.755,3.14
1784964559.832271,0.76309,3.14
1784964560.3330922,0.75062,3.14
1784964560.8338907,0.74564,3.14
1784964561.3342712,0.75312,3.14
1784964561.8372781,0.75871,3.14
1784964562.3380978,0.745,3.14
1784964562.8389058,0.75312,3.14
1784964563.3392763,0.75312,3.45
1784964563.8400815,0.75188,3.45
1784964564.3422797,0.75682,3.45
1784964564.8430915,0.755,3.45
1784964565.3439035,0.7619,3.45
1784964565.8443792,0.745,3.45
1784964566.3451715,0.7581,3.45
1784964566.8459618,0.75312,3.45
1784964567.3482633,0.75373,3.45
1784964567.849055,0.77387,3.45
1784964568.3498485,0.74876,3.73
1784964568.8506384,0.75,3.73
1784964569.3514187,0.7581,3.73
1784964569.8542519,0.79052,3.73
1784964570.3550272,0.785,3.73
1784964570.8558242,0.8005,3.73
1784964571.356261,0.79146,3.73
1784964571.8570194,0.78803,3.73
1784964572.3578162,0.7925,3.73
1784964572.8589787,0.835,3.73
1784964573.3592632,0.7925,4.0
1784964573.8622773,0.77057,4.0
1784964574.3630505,0.7525,4.0
1784964574.8638098,0.76,4.0
1784964575.3662775,0.74442,4.0
1784964575.8671057,0.75879,4.0
1784964576.367876,0.7469,4.0
1784964576.869279,0.75062,4.0
1784964577.3700454,0.77387,4.0
1784964577.8708408,0.7425,4.0
1784964578.3716795,0.7575,4.08
1784964578.8722699,0.75124,4.08
1784964579.3732524,0.75,4.08
1784964579.876341,0.75682,4.08
1784964580.3771331,0.75188,4.08
1784964580.877897,0.755,4.08
1784964581.3782303,0.75062,4.08
1784964581.8789556,0.75,4.08
1784964582.3792217,0.755,4.08
1784964582.8799953,0.75062,4.08
1784964583.3807697,0.7619,4.31
1784964583.8812501,0.755,4.31
1784964584.382254,0.7525,4.31
1784964584.883043,0.74813,4.31
1784964585.3852506,0.75682,4.31
1784964585.8860033,0.75,4.31
1784964586.3882318,0.76,4.31
1784964586.8889995,0.76692,4.31
1784964587.389804,0.75682,4.31
1784964587.8902764,0.75062,4.31
1784964588.3910632,0.7525,4.45
1784964588.8923285,0.75062,4.45
1784964589.3942633,0.75561,4.45
1784964589.8950384,0.755,4.45
1784964590.3959126,0.74687,4.45
1784964590.8972623,0.75622,4.45
1784964591.398081,0.75188,4.45
1784964591.9002535,0.75,4.45
1784964592.4011028,0.7525,4.45
1784964592.9019399,0.74937,4.45
1784964593.4033272,0.75062,4.73
1784964593.9041502,0.75312,4.73
1784964594.4052582,0.75312,4.73
1784964594.9060142,0.745,4.73
1784964595.4072835,0.76309,4.73
1784964595.910264,0.75062,4.73
1784964596.4111404,0.755,4.73
1784964596.913307,0.74752,4.73
1784964597.4141147,0.75439,4.73
1784964597.9149246,0.75312,4.73
1784964598.4152968,0.7619,4.75
1784964598.9160917,0.75373,4.75
1784964599.4169197,0.74314,4.75
1784964599.9183495,0.7606,4.75
1784964600.4192061,0.75062,4.75
1784964600.9202776,0.75,4.75
1784964601.421131,0.7575,4.75
1784964601.9232736,0.75124,4.75
1784964602.4240475,0.7581,4.75
1784964602.924831,0.74,4.75
1784964603.4262676,0.75561,4.85
1784964603.9270139,0.7606,4.85
1784964604.427895,0.7475,4.85
1784964604.931266,0.75931,4.85
1784964605.4320605,0.755,4.85
1784964605.9328473,0.7475,4.85
1784964606.4332514,0.74564,4.85
1784964606.9342635,0.7575,4.85
1784964607.4352787,0.755,4.85
1784964607.9382882,0.74314,4.85
1784964608.441271,0.75,4.87
1784964608.9420354,0.76,4.87
1784964609.444282,0.74314,4.87
1784964609.945152,0.76,4.87
1784964610.4459648,0.75062,4.87
1784964610.9473064,0.75312,4.87
1784964611.449278,0.75124,4.87
1784964611.9500751,0.75,4.87
1784964612.4508765,0.75062,4.87
1784964612.9516492,0.75188,4.87
1784964613.452449,0.75312,4.96
1784964613.9542353,0.75062,4.96
1784964614.4550264,0.7525,4.96
1784964614.9558277,0.75312,4.96
1784964615.4563034,0.7525,4.96
1784964615.957115,0.7575,4.96
1784964616.4579778,0.74813,4.96
1784964616.9602559,0.75561,4.96
1784964617.4611373,0.7475,4.96
1784964617.964312,0.76119,4.96
1784964618.4651377,0.74687,5.2
1784964618.9659376,0.75622,5.2
1784964619.4667604,0.7606,5.2
1784964619.9675467,0.7581,5.2
1784964620.4683154,0.7475,5.2
1784964620.9691887,0.75312,5.2
1784964621.470023,0.74687,5.2
1784964621.972339,0.75373,5.2
1784964622.4732509,0.7575,5.2
1784964622.9741607,0.7475,5.2
1784964623.4750004,0.755,5.35
1784964623.976285,0.75871,5.35
1784964624.4770803,0.74,5.35
1784964624.977954,0.74813,5.35
1784964625.4802887,0.75622,5.35
1784964625.9810562,0.7525,5.35
1784964626.482281,0.75062,5.35
1784964626.9862888,0.75556,5.35
1784964627.487116,0.74937,5.35
1784964627.9902856,0.75871,5.35
1784964628.4910781,0.74813,5.56
1784964628.9930272,0.74813,5.56
1784964629.4946952,0.74813,5.56
1784964629.9971032,0.76119,5.56
1784964630.4992607,0.75312,5.56
1784964631.0000846,0.75,5.56
1784964631.5008748,0.76942,5.56
1784964632.0012634,0.75124,5.56
1784964632.5020404,0.745,5.56
1784964633.00429,0.75434,5.56
1784964633.5050619,0.75188,5.59
1784964634.0058765,0.74627,5.59
1784964634.507286,0.76309,5.59
1784964635.0080993,0.7594,5.59
1784964635.5088744,0.745,5.59
1784964636.0096653,0.7475,5.59
1784964636.510263,0.75871,5.59
1784964637.01101,0.74436,5.59
1784964637.5117893,0.76,5.59
1784964638.0132587,0.75312,5.59
1784964638.5140307,0.75622,5.71
1784964639.0148232,0.7475,5.71
1784964639.51529,0.7525,5.71
1784964640.0160491,0.7575,5.71
1784964640.5182486,0.75124,5.71
1784964641.0198493,0.75561,5.71
1784964641.5205972,0.75,5.71
1784964642.0212862,0.75062,5.71
1784964642.524263,0.75871,5.71
1784964643.0250742,0.745,5.71
1784964643.528261,0.75871,5.81
1784964644.0290356,0.7606,5.81
1784964644.529836,0.75439,5.81
1784964645.0312612,0.75312,5.81
1784964645.532052,0.75188,5.81
1784964646.0328853,0.75373,5.81
1784964646.5332644,0.75561,5.81
1784964647.036243,0.74876,5.81
1784964647.5369964,0.7525,5.81
1784964648.0377998,0.765,5.81
1784964648.5382364,0.75,5.83
1784964649.038996,0.7606,5.83
1784964649.5423107,0.76119,5.83
1784964650.0431268,0.74687,5.83
1784964650.5438812,0.75434,5.83
1784964651.046386,0.75062,5.83
1784964651.55082,0.75434,5.83
1784964652.051312,0.75,5.83
1784964652.5520942,0.7525,5.83
1784964653.0552576,0.75622,5.83
1784964653.5560336,0.7475,5.76
1784964654.056798,0.7525,5.76
1784964654.5602598,0.74938,5.76
1784964655.0610304,0.7575,5.76
1784964655.5616136,0.74813,5.76
1784964656.0622787,0.7475,5.76
1784964656.565245,0.75124,5.76
1784964657.066003,0.7625,5.76
1784964657.5672867,0.74,5.76
1784964658.0691373,0.75312,5.76
1784964658.5699794,0.75871,5.62
1784964659.070267,0.74687,5.62
1784964659.5723433,0.75124,5.62
1784964660.073181,0.75124,5.62
