run_id,backend,config,pct_under_betting,pct_under_live_alert,pct_under_coaching,pct_under_broadcast,pct_under_fan_app
batch2_20260615_kafka_cluster_s2_n5_rep1,kafka,cluster,0.0,0.0,0.0,0.0,9.11534154535274
batch2_20260615_kafka_cluster_s2_n5_rep2,kafka,cluster,0.0,0.0,0.0,0.0,9.160134378499441
batch2_20260615_kafka_cluster_s2full_n10_rep1,kafka,cluster,0.0,0.0,0.0,0.0,6.948580504268409
batch2_20260615_kafka_cluster_s2full_n10_rep2,kafka,cluster,0.0,0.0,0.0,0.0,8.338296605122098
batch2_20260615_kafka_cluster_s2full_n20_rep1,kafka,cluster,0.0,0.0,0.0,0.0,8.338296605122098
batch2_20260615_kafka_cluster_s2full_n20_rep2,kafka,cluster,0.0,0.0,0.0,0.0,8.199324995036728
batch2_20260615_kafka_cluster_s2full_n5_rep1,kafka,cluster,0.0,0.0,0.0,0.0,8.258884256501887
batch2_20260615_kafka_cluster_s2full_n5_rep2,kafka,cluster,0.0,0.0,0.0,0.0,6.948580504268409
batch2_20260615_kafka_cluster_s2sf12_n10_rep1,kafka,cluster,0.0,0.0,0.0,0.0,9.316909294512875
batch2_20260615_kafka_cluster_s2sf12_n10_rep2,kafka,cluster,0.0,0.0,0.0,0.0,9.20492721164614
batch2_20260615_kafka_cluster_s2sf12_n20_rep1,kafka,cluster,0.0,0.0,0.0,0.0,9.070548712206051
batch2_20260615_kafka_cluster_s2sf12_n20_rep2,kafka,cluster,0.0,0.0,0.0,0.0,9.272116461366187
batch2_20260615_kafka_cluster_s2sf12_n5_rep1,kafka,cluster,0.0,0.0,0.0,0.0,9.137737961926096
batch2_20260615_kafka_cluster_s2sf12_n5_rep2,kafka,cluster,0.0,0.0,0.0,0.0,7.54759238521836
batch2_20260615_kafka_cluster_s2sf12j2_n10_rep1,kafka,cluster,0.0,0.0,0.0,0.0,9.406494960806267
batch2_20260615_kafka_cluster_s2sf12j2_n10_rep2,kafka,cluster,0.0,0.0,0.0,0.0,9.496080627099667
batch2_20260615_kafka_cluster_s2sf12j2_n20_rep1,kafka,cluster,0.0,0.0,0.0,0.0,9.518477043673013
batch2_20260615_kafka_cluster_s2sf12j2_n20_rep2,kafka,cluster,0.0,0.0,0.0,0.0,9.451287793952968
batch2_20260615_kafka_cluster_s2sf12j2_n5_rep1,kafka,cluster,0.0,0.0,0.0,0.0,9.540873460246358
batch2_20260615_kafka_cluster_s2sf12j2_n5_rep2,kafka,cluster,0.0,0.0,0.0,0.0,9.33930571108622
batch2_20260615_redis_cluster_s1_n10_rep1,redis,cluster,0.0,0.0,0.0,0.0,96.81083442551332
batch2_20260615_redis_cluster_s1_n10_rep2,redis,cluster,0.0,0.0,0.0,0.0,91.69943206640454
batch2_20260615_redis_cluster_s1_n20_rep1,redis,cluster,0.0,0.0,0.0,0.0,90.38881607688947
batch2_20260615_redis_cluster_s1_n20_rep2,redis,cluster,0.0,0.0,0.0,0.0,0.0
batch2_20260615_redis_cluster_s1_n5_rep1,redis,cluster,0.0,0.0,0.0,0.0,93.57798165137613
batch2_20260615_redis_cluster_s1_n5_rep2,redis,cluster,0.0,0.0,0.0,0.0,0.0
batch2_20260615_redis_cluster_s2_n10_rep1,redis,cluster,0.0,0.0,0.0,0.0,44.52407614781635
batch2_20260615_redis_cluster_s2_n10_rep2,redis,cluster,0.0,0.0,0.0,0.0,43.82978723404255
batch2_20260615_redis_cluster_s2_n5_rep1,redis,cluster,0.0,0.0,0.0,0.0,0.0
batch2_20260615_redis_cluster_s2_n5_rep2,redis,cluster,0.0,0.0,0.0,0.0,46.11422172452407
batch3_20260616_redis_cluster_s2_n20_rep1,redis,cluster,0.0,0.0,0.0,0.0,0.0
batch3_20260616_redis_cluster_s2_n20_rep2,redis,cluster,0.0,0.0,0.0,0.0,41.3437849944009
batch3_20260616_redis_cluster_s2full_n10_rep1,redis,cluster,0.0,0.0,0.0,0.0,0.0
batch3_20260616_redis_cluster_s2full_n10_rep2,redis,cluster,0.0,0.0,0.0,0.0,42.187810204486794
batch3_20260616_redis_cluster_s2full_n20_rep1,redis,cluster,0.0,0.0,0.0,0.0,0.0
batch3_20260616_redis_cluster_s2full_n20_rep2,redis,cluster,0.0,0.0,0.0,0.0,44.03414730990669
batch3_20260616_redis_cluster_s2full_n5_rep1,redis,cluster,0.0,0.0,0.0,0.0,41.87016081000595
batch3_20260616_redis_cluster_s2full_n5_rep2,redis,cluster,0.0,0.0,0.0,0.0,43.91502878697637
batch3_20260616_redis_cluster_s2sf12_n10_rep1,redis,cluster,0.0,0.0,0.0,0.0,0.0
batch3_20260616_redis_cluster_s2sf12_n10_rep2,redis,cluster,0.0,0.0,0.0,0.0,43.02351623740201
batch3_20260616_redis_cluster_s2sf12_n20_rep1,redis,cluster,0.0,0.0,0.0,0.0,0.0
batch3_20260616_redis_cluster_s2sf12_n20_rep2,redis,cluster,0.0,0.0,0.0,0.0,42.463605823068306
batch3_20260616_redis_cluster_s2sf12_n5_rep1,redis,cluster,0.0,0.0,0.0,0.0,43.337066069428886
batch3_20260616_redis_cluster_s2sf12_n5_rep2,redis,cluster,0.0,0.0,0.0,0.0,43.807390817469205
batch3_20260616_redis_cluster_s2sf12j2_n10_rep1,redis,cluster,0.0,0.0,0.0,0.0,0.0
batch3_20260616_redis_cluster_s2sf12j2_n10_rep2,redis,cluster,0.0,0.0,0.0,0.0,42.57558790593505
batch3_20260616_redis_cluster_s2sf12j2_n20_rep1,redis,cluster,0.0,0.0,0.0,0.0,0.0
batch3_20260616_redis_cluster_s2sf12j2_n20_rep2,redis,cluster,0.0,0.0,0.0,0.0,38.52183650615901
batch3_20260616_redis_cluster_s2sf12j2_n5_rep1,redis,cluster,0.0,0.0,0.0,0.0,44.546472564389695
batch3_20260616_redis_cluster_s2sf12j2_n5_rep2,redis,cluster,0.0,0.0,0.0,0.0,42.82194848824188
batch3_20260616_redis_single_s2_n20_rep1,redis,single,0.0,0.0,0.0,0.0,100.0
batch3_20260616_redis_single_s2_n20_rep2,redis,single,0.0,0.0,0.0,0.0,100.0
batch3_20260616_redis_single_s2full_n10_rep1,redis,single,0.0,0.0,0.0,0.0,67.26225928131824
batch3_20260616_redis_single_s2full_n10_rep2,redis,single,0.0,0.0,0.0,0.0,67.34167162993845
batch3_20260616_redis_single_s2full_n20_rep1,redis,single,0.0,0.0,0.0,0.0,67.26225928131824
batch3_20260616_redis_single_s2full_n20_rep2,redis,single,0.0,0.0,0.0,0.0,67.26225928131824
batch3_20260616_redis_single_s2full_n5_rep1,redis,single,0.0,0.0,0.0,0.0,67.26225928131824
batch3_20260616_redis_single_s2full_n5_rep2,redis,single,0.0,0.0,0.0,0.0,67.38137780424856
batch3_20260616_redis_single_s2sf12_n10_rep1,redis,single,0.0,0.0,0.0,0.0,100.0
batch3_20260616_redis_single_s2sf12_n10_rep2,redis,single,0.0,0.0,0.0,0.0,100.0
batch3_20260616_redis_single_s2sf12_n20_rep1,redis,single,0.0,0.0,0.0,0.0,100.0
batch3_20260616_redis_single_s2sf12_n20_rep2,redis,single,0.0,0.0,0.0,0.0,100.0
batch3_20260616_redis_single_s2sf12_n5_rep1,redis,single,0.0,0.0,0.0,0.0,100.0
batch3_20260616_redis_single_s2sf12_n5_rep2,redis,single,0.0,0.0,0.0,0.0,100.0
batch3_20260616_redis_single_s2sf12j2_n10_rep1,redis,single,0.0,0.0,0.0,0.0,100.0
batch3_20260616_redis_single_s2sf12j2_n10_rep2,redis,single,0.0,0.0,0.0,0.0,100.0
batch3_20260616_redis_single_s2sf12j2_n20_rep1,redis,single,0.0,0.0,0.0,0.0,100.0
batch3_20260616_redis_single_s2sf12j2_n20_rep2,redis,single,0.0,0.0,0.0,0.0,100.0
batch3_20260616_redis_single_s2sf12j2_n5_rep1,redis,single,0.0,0.0,0.0,0.0,100.0
batch3_20260616_redis_single_s2sf12j2_n5_rep2,redis,single,0.0,0.0,0.0,0.0,100.0
