backend,pct_under_betting,pct_under_live_alert,pct_under_coaching,pct_under_broadcast,pct_under_fan_app
kafka,0.0,0.0,0.0,0.0,29.068553732371008
redis,0.0,0.0,0.0,0.0,64.41942654006496
