gender,n_events,duration_s,mean_rate_evs,peak_rate_evs,gap_p50_s,gap_p05_s,burstiness,n_matches
male,3538.0,8403.0,0.4194795359777942,2.7,1.0,0.0,6.427600118258768,2806
female,3356.0,8508.0,0.392,2.6,1.0,0.0,6.614606741573033,509
