backend,config,n,tti_p50,tti_p95,transport_p50,transport_p95,schedlag_p50,n_runs
kafka,single,50,109.689982,109.76067645,0.7260735,1.205111075,54.567978,50
redis,single,50,41.524553499999996,62.671569125,0.7438054999999999,4.831139299999997,26.6789925,50
