backend,config,n,tti_p50,tti_p95,transport_p50,transport_p95,schedlag_p50,n_runs
kafka,single,5,78.836963,203.78299014999993,17.022678499999998,23.47150825,39.184945,15
redis,single,5,92385.795485,92556.6612966,92262.197723,92466.253176,109.869916,15
