first_mean_ms,last_mean_ms,growth,n_events,run_id,backend
192.25279323622047,36.276777571428575,0.1886931105695583,507,concurrency_n5_20260721_221804_kafka_feed1_rep1,kafka
182.05251458267716,35.865321714285706,0.19700536296628773,507,concurrency_n5_20260721_221804_kafka_feed1_rep2,kafka
193.42876544094491,35.516226634920635,0.18361398602714019,507,concurrency_n5_20260721_221804_kafka_feed1_rep3,kafka
186.7985817476635,35.68373656603774,0.1910278773649419,425,concurrency_n5_20260721_221804_kafka_feed2_rep1,kafka
188.18599242056072,34.79083402830189,0.18487472728868595,425,concurrency_n5_20260721_221804_kafka_feed2_rep2,kafka
200.8189626728972,36.157126990566034,0.18004837047913827,425,concurrency_n5_20260721_221804_kafka_feed2_rep3,kafka
200.006819026087,36.16950021929825,0.1808413352875766,457,concurrency_n5_20260721_221804_kafka_feed3_rep1,kafka
199.45456736521737,36.22202163157895,0.1816053756505536,457,concurrency_n5_20260721_221804_kafka_feed3_rep2,kafka
188.20818723478266,35.466296350877194,0.18844183599002692,457,concurrency_n5_20260721_221804_kafka_feed3_rep3,kafka
185.98386698076925,35.4882833592233,0.19081377291124285,414,concurrency_n5_20260721_221804_kafka_feed4_rep1,kafka
186.4075542596154,35.657596640776696,0.19128836694630566,414,concurrency_n5_20260721_221804_kafka_feed4_rep2,kafka
187.3774087403846,36.746528475728155,0.19610970566169617,414,concurrency_n5_20260721_221804_kafka_feed4_rep3,kafka
206.60457625409836,35.559495272727276,0.17211378333165983,486,concurrency_n5_20260721_221804_kafka_feed5_rep1,kafka
207.93350850000002,35.306326082644624,0.16979623119591916,486,concurrency_n5_20260721_221804_kafka_feed5_rep2,kafka
197.18638179508199,38.00385912396694,0.19273064791797295,486,concurrency_n5_20260721_221804_kafka_feed5_rep3,kafka
72951.4144182362,80401.93156996825,1.1021298519178482,507,concurrency_n5_20260721_221804_redis_feed1_rep1,redis
73003.90121253542,80451.38576293652,1.1020148845021216,507,concurrency_n5_20260721_221804_redis_feed1_rep2,redis
72876.39560902363,80327.70780242857,1.102245893627625,507,concurrency_n5_20260721_221804_redis_feed1_rep3,redis
60948.10938939253,67114.76461763208,1.1011787779804834,425,concurrency_n5_20260721_221804_redis_feed2_rep1,redis
61019.63177327103,67196.01053603773,1.1012195351442975,425,concurrency_n5_20260721_221804_redis_feed2_rep2,redis
60894.26119174767,67065.04634928302,1.101336070703024,425,concurrency_n5_20260721_221804_redis_feed2_rep3,redis
65582.80393729564,72209.65401610527,1.1010455436633302,457,concurrency_n5_20260721_221804_redis_feed3_rep1,redis
65675.03766101738,72306.96483026315,1.100980942005341,457,concurrency_n5_20260721_221804_redis_feed3_rep2,redis
65632.8996899913,72262.80504460527,1.1010149694121314,457,concurrency_n5_20260721_221804_redis_feed3_rep3,redis
59235.66675499039,65235.94462234951,1.1012950169393276,414,concurrency_n5_20260721_221804_redis_feed4_rep1,redis
59350.37315595193,65360.83300409708,1.101270801320015,414,concurrency_n5_20260721_221804_redis_feed4_rep2,redis
59266.08225466346,65269.729831349505,1.1012998893851067,414,concurrency_n5_20260721_221804_redis_feed4_rep3,redis
69806.1819140246,76933.61356678513,1.1021031584500482,486,concurrency_n5_20260721_221804_redis_feed5_rep1,redis
69887.87667679509,77014.2972156033,1.1019693382840232,486,concurrency_n5_20260721_221804_redis_feed5_rep2,redis
69817.4667314754,76947.50691189255,1.1021240173012858,486,concurrency_n5_20260721_221804_redis_feed5_rep3,redis
