backend,config,n,tti_p50,tti_p95,transport_p50,transport_p95,schedlag_p50,n_runs
kafka,single,5,336.610643,398.3095636,44.883048,52.749185600000004,232.228418,15
redis,single,5,103142.90199,113314.87355660001,102459.876643,112222.8757774,632.877249,15
