backend,config,n,tti_p50,tti_p95,transport_p50,transport_p95,schedlag_p50,n_runs
kafka,single,5,337.73668399999997,393.5115265,43.7371925,52.797699800000004,231.909779,15
redis,single,5,138056.18415,138189.8081436,137386.969149,137942.485363,630.775448,15
