timestamp,backend,kafka_cpu_pct,kafka_mem_mib,redis_cpu_pct,redis_mem_mib
2026-06-12 19:31:50.663,kafka,145.23,1173.5,0.2,131.7
2026-06-12 19:31:52.282,kafka,4.28,1117.18,0.23,131.7
2026-06-12 19:31:54.259,kafka,1.8,1116.16,0.21,131.7
2026-06-12 19:31:56.269,kafka,35.2,1117.18,0.2,131.7
2026-06-12 19:31:58.272,kafka,32.96,1117.18,0.2,131.7
2026-06-12 19:32:00.296,kafka,30.96,1118.21,0.22,131.7
2026-06-12 19:32:02.306,kafka,1.8,1118.21,0.22,131.7
2026-06-12 19:32:04.317,kafka,1.71,1118.21,0.22,131.7
2026-06-12 19:32:06.310,kafka,1.71,1118.21,0.22,131.7
2026-06-12 19:32:08.325,kafka,1.52,1118.21,0.22,131.7
2026-06-12 19:32:10.343,kafka,1.89,1118.21,0.24,131.7
