run_id,backend,config,n,tti_p50,tti_p95,transport_p50,transport_p95,schedlag_p50,n_matched
concurrency_n10_20260722_004552_redis_feed1_rep1,redis,single,10,8.928541,10.967886,0.448194,3.4971699999999992,6.764076,7
concurrency_n10_20260722_004552_redis_feed1_rep2,redis,single,10,7.500379,9.290619199999998,0.718747,1.9862820999999995,5.222843,7
concurrency_n10_20260722_004552_redis_feed2_rep1,redis,single,10,5.36486,6.1173473,0.920725,1.3187634,1.711954,7
concurrency_n10_20260722_004552_redis_feed2_rep2,redis,single,10,4.492509,6.3180286,0.469377,0.7397220999999998,3.655711,7
concurrency_n10_20260722_004552_redis_feed3_rep1,redis,single,10,10.34944,11.1600491,1.864406,2.2944158,4.255908,7
concurrency_n10_20260722_004552_redis_feed3_rep3,redis,single,10,5.295123,6.0547434,0.854756,1.4437051,1.553581,7
concurrency_n10_20260722_004552_redis_feed4_rep3,redis,single,10,6.564231,9.902985,1.7088390000000002,3.406924,3.0184575,8
concurrency_n10_20260722_004552_redis_feed5_rep2,redis,single,10,5.905636,6.7540113,0.883369,1.5916324999999998,1.493077,7
concurrency_n10_20260722_004552_redis_feed5_rep3,redis,single,10,6.109867,7.423879299999999,1.277439,3.6097359,2.267999,7
concurrency_n10_20260722_004552_redis_feed6_rep3,redis,single,10,5.07642,5.8166493,0.79886,1.5343212,1.553311,7
concurrency_n10_20260722_004552_redis_feed7_rep2,redis,single,10,5.03071,6.1250755,0.849998,1.3733915,1.239012,11
concurrency_n10_20260722_004552_redis_feed8_rep1,redis,single,10,5.009808,5.7370321,0.84517,1.1917911,1.874082,7
concurrency_n10_20260722_004552_redis_feed8_rep2,redis,single,10,5.786013,6.6257668,0.770095,1.3570151,1.997107,7
concurrency_n10_20260722_004552_redis_feed9_rep1,redis,single,10,7.310891,11.4330881,0.881186,3.7407213,2.006684,7
concurrency_n10_20260722_004552_redis_feed9_rep2,redis,single,10,4.731233,5.493709099999999,0.73986,1.1270634,1.532357,7
concurrency_n12_20260722_004738_kafka_feed10_rep1,kafka,single,12,105.371729,105.41067195,0.7159685,0.7467775000000001,52.7666015,8
concurrency_n12_20260722_004738_kafka_feed10_rep2,kafka,single,12,106.707658,106.77326895,1.039397,1.0954197,53.005872,8
concurrency_n12_20260722_004738_kafka_feed10_rep3,kafka,single,12,105.9878795,106.02567245,0.7766105000000001,0.80579485,52.754488,8
concurrency_n12_20260722_004738_kafka_feed11_rep1,kafka,single,12,104.987251,105.0029716,0.839281,0.852067,102.796727,5
concurrency_n12_20260722_004738_kafka_feed11_rep2,kafka,single,12,108.187528,108.2040826,0.72619,0.7375952,105.73257,5
concurrency_n12_20260722_004738_kafka_feed11_rep3,kafka,single,12,105.278918,105.2950244,0.933866,0.9454994,102.932636,5
concurrency_n12_20260722_004738_kafka_feed12_rep1,kafka,single,12,107.684509,107.7111351,0.822946,0.8448967000000001,104.60706,7
concurrency_n12_20260722_004738_kafka_feed12_rep2,kafka,single,12,105.002355,105.0282234,0.824067,0.8447023,102.676364,7
concurrency_n12_20260722_004738_kafka_feed12_rep3,kafka,single,12,105.462047,105.5028711,1.078887,1.1146832999999998,102.811681,7
concurrency_n12_20260722_004738_kafka_feed1_rep1,kafka,single,12,105.160026,105.1872238,0.810587,0.8330987,102.814576,7
concurrency_n12_20260722_004738_kafka_feed1_rep2,kafka,single,12,108.646779,108.6888244,1.00821,1.0430019,105.460665,7
concurrency_n12_20260722_004738_kafka_feed1_rep3,kafka,single,12,105.754072,105.7807638,0.797227,0.815915,103.0209,7
concurrency_n12_20260722_004738_kafka_feed2_rep1,kafka,single,12,113.104444,113.1445687,4.164717,4.1977269,106.628628,7
concurrency_n12_20260722_004738_kafka_feed2_rep2,kafka,single,12,104.940009,104.9660921,0.798399,0.8197717,102.649383,7
concurrency_n12_20260722_004738_kafka_feed2_rep3,kafka,single,12,106.945162,106.9919564,0.979686,1.0098592,103.562317,7
concurrency_n12_20260722_004738_kafka_feed3_rep1,kafka,single,12,109.137527,109.1792624,0.996021,1.0300783,105.873084,7
concurrency_n12_20260722_004738_kafka_feed3_rep2,kafka,single,12,106.792197,106.8307433,1.016261,1.0481855,103.300527,7
concurrency_n12_20260722_004738_kafka_feed3_rep3,kafka,single,12,105.66134,105.6873911,0.896428,0.9154113,103.047711,7
concurrency_n12_20260722_004738_kafka_feed4_rep1,kafka,single,12,104.8535685,104.8919591,0.7468105,0.7712303,52.04901,8
concurrency_n12_20260722_004738_kafka_feed4_rep2,kafka,single,12,105.4203275,105.473997,0.9167945,0.9628969,51.895649500000005,8
concurrency_n12_20260722_004738_kafka_feed4_rep3,kafka,single,12,106.4421535,106.5023854,0.8566674999999999,0.90889195,52.6402025,8
concurrency_n12_20260722_004738_kafka_feed5_rep1,kafka,single,12,105.056839,105.0834411,0.796917,0.8188337,102.793593,7
concurrency_n12_20260722_004738_kafka_feed5_rep2,kafka,single,12,105.408385,105.4486993,0.946314,0.9816332,102.77836,7
concurrency_n12_20260722_004738_kafka_feed5_rep3,kafka,single,12,106.151319,106.1770721,0.765259,0.784462,103.610591,7
concurrency_n12_20260722_004738_kafka_feed6_rep1,kafka,single,12,105.971645,105.9973068,0.762905,0.78267,103.369814,7
concurrency_n12_20260722_004738_kafka_feed6_rep3,kafka,single,12,105.485463,105.5113661,0.722973,0.7424647,102.96132,7
concurrency_n12_20260722_004738_kafka_feed7_rep1,kafka,single,12,107.346434,107.4070005,1.224028,1.271556,103.448402,11
concurrency_n12_20260722_004738_kafka_feed7_rep2,kafka,single,12,106.18452,106.2276405,0.869968,0.9022075,103.151849,11
concurrency_n12_20260722_004738_kafka_feed7_rep3,kafka,single,12,105.481517,105.522379,0.906735,0.9402405,102.712309,11
concurrency_n12_20260722_004738_kafka_feed8_rep1,kafka,single,12,105.467084,105.4929291,1.00922,1.0302237,102.884081,7
concurrency_n12_20260722_004738_kafka_feed8_rep2,kafka,single,12,105.75877,105.7851511,0.719158,0.7387433,103.197809,7
concurrency_n12_20260722_004738_kafka_feed8_rep3,kafka,single,12,104.847348,104.8732808,0.775344,0.7970044000000001,102.56912,7
concurrency_n12_20260722_004738_kafka_feed9_rep1,kafka,single,12,105.599897,105.6397778,0.63491,0.6691754000000001,103.124598,7
concurrency_n12_20260722_004738_kafka_feed9_rep2,kafka,single,12,105.287531,105.3138741,0.725418,0.7449617,102.940127,7
concurrency_n12_20260722_004738_kafka_feed9_rep3,kafka,single,12,107.676649,107.7023598,0.987628,1.0087894,105.113256,7
concurrency_n12_20260722_004738_redis_feed10_rep2,redis,single,12,5.093444,10.387815949999998,0.876323,3.7718964,3.4376865,8
concurrency_n12_20260722_004738_redis_feed11_rep1,redis,single,12,5.261001,5.733684,1.001729,1.3759346,1.307996,5
concurrency_n12_20260722_004738_redis_feed11_rep3,redis,single,12,5.19492,5.6946952,1.085968,1.4574908,1.128562,5
concurrency_n12_20260722_004738_redis_feed12_rep1,redis,single,12,5.03788,5.8876133,0.953165,1.7064000999999998,0.939915,7
concurrency_n12_20260722_004738_redis_feed1_rep2,redis,single,12,5.511934,6.224436,0.845321,1.4219663,1.323951,7
concurrency_n12_20260722_004738_redis_feed1_rep3,redis,single,12,5.275293,6.1452208,0.749675,1.1518503,1.524862,7
concurrency_n12_20260722_004738_redis_feed2_rep3,redis,single,12,8.18085,10.7171013,0.141407,1.2582671999999997,7.321407,7
concurrency_n12_20260722_004738_redis_feed3_rep2,redis,single,12,4.804184,5.5233555,0.843668,1.0011096999999998,2.13114,7
concurrency_n12_20260722_004738_redis_feed3_rep3,redis,single,12,9.455805,10.2931633,0.71432,1.3009505,3.752108,7
concurrency_n12_20260722_004738_redis_feed4_rep1,redis,single,12,7.677383000000001,11.597514549999998,0.286803,1.8187554499999996,6.143478,8
concurrency_n12_20260722_004738_redis_feed4_rep2,redis,single,12,4.5471165,5.6267103,0.7333745,1.43684545,1.0304415,8
concurrency_n12_20260722_004738_redis_feed4_rep3,redis,single,12,10.653934,15.9282773,1.430594,5.4643159,4.5607425,8
concurrency_n12_20260722_004738_redis_feed5_rep1,redis,single,12,5.143873,6.255759599999999,0.746701,1.0397458999999998,2.409065,7
concurrency_n12_20260722_004738_redis_feed5_rep2,redis,single,12,5.735245,8.728230599999998,0.913885,3.1964837999999984,2.639549,7
concurrency_n12_20260722_004738_redis_feed6_rep3,redis,single,12,5.345651,6.2895881,0.889777,1.7373387999999998,1.706556,7
concurrency_n12_20260722_004738_redis_feed8_rep1,redis,single,12,5.653911,6.3971221,0.694039,1.3605159999999998,1.599459,7
concurrency_n12_20260722_004738_redis_feed8_rep2,redis,single,12,4.495413,6.493503,0.853855,1.704149,1.733594,7
concurrency_n12_20260722_004738_redis_feed9_rep1,redis,single,12,4.859589,5.5493004,0.725828,1.3344151,1.471366,7
concurrency_n12_20260722_004738_redis_feed9_rep3,redis,single,12,5.879756,10.5014996,0.679327,3.8869623,2.563493,7
concurrency_n9_20260722_004407_kafka_feed1_rep1,kafka,single,9,105.413108,105.4395401,0.736705,0.7585674,103.113016,7
concurrency_n9_20260722_004407_kafka_feed1_rep2,kafka,single,9,109.587861,109.6295404,1.076633,1.1116739,106.625308,7
concurrency_n9_20260722_004407_kafka_feed1_rep3,kafka,single,9,106.897343,106.9370517,0.87758,0.9124363,104.349213,7
concurrency_n9_20260722_004407_kafka_feed2_rep1,kafka,single,9,105.253633,105.2798141,0.676172,0.7092670999999999,103.056599,7
concurrency_n9_20260722_004407_kafka_feed2_rep2,kafka,single,9,105.858627,105.8850571,0.704095,0.7238238,103.285951,7
concurrency_n9_20260722_004407_kafka_feed2_rep3,kafka,single,9,104.82568,104.8530408,0.742013,0.7627010000000001,102.609257,7
concurrency_n9_20260722_004407_kafka_feed3_rep1,kafka,single,9,105.596707,105.6228681,0.801714,0.8216783,103.149812,7
concurrency_n9_20260722_004407_kafka_feed3_rep2,kafka,single,9,105.400909,105.4272671,0.669822,0.6891673,102.873361,7
concurrency_n9_20260722_004407_kafka_feed3_rep3,kafka,single,9,105.891247,105.9177921,0.819772,0.841546,103.415537,7
concurrency_n9_20260722_004407_kafka_feed4_rep1,kafka,single,9,105.198611,105.23729245,0.60562,0.6667457,51.988279,8
concurrency_n9_20260722_004407_kafka_feed4_rep2,kafka,single,9,105.0484955,105.0887111,0.7752435,0.8097488,51.874379,8
concurrency_n9_20260722_004407_kafka_feed4_rep3,kafka,single,9,105.957969,105.9966966,0.8113790000000001,0.8438915,52.552526500000006,8
concurrency_n9_20260722_004407_kafka_feed5_rep1,kafka,single,9,105.860541,105.8869881,0.947938,0.960523,102.999263,7
concurrency_n9_20260722_004407_kafka_feed5_rep2,kafka,single,9,109.38429,109.4103528,0.725777,0.7449137,106.766764,7
concurrency_n9_20260722_004407_kafka_feed5_rep3,kafka,single,9,105.264981,105.2909124,0.788102,0.809592,102.954835,7
concurrency_n9_20260722_004407_kafka_feed6_rep1,kafka,single,9,105.518659,105.5445631,0.843899,0.8652017,103.124473,7
concurrency_n9_20260722_004407_kafka_feed6_rep2,kafka,single,9,105.875202,105.9013104,1.504797,1.526038,102.674716,7
concurrency_n9_20260722_004407_kafka_feed6_rep3,kafka,single,9,105.216117,105.2422141,0.965544,0.9871977,102.702378,7
concurrency_n9_20260722_004407_kafka_feed7_rep1,kafka,single,9,105.463814,105.5043315,0.855245,0.885187,102.809523,11
concurrency_n9_20260722_004407_kafka_feed7_rep2,kafka,single,9,106.468889,106.539181,1.239362,1.3020575,103.296837,11
concurrency_n9_20260722_004407_kafka_feed7_rep3,kafka,single,9,109.592407,109.6466855,0.896288,0.94302,106.256215,11
concurrency_n9_20260722_004407_kafka_feed8_rep1,kafka,single,9,105.0154,105.0416874,0.778488,0.8001630000000001,102.714588,7
concurrency_n9_20260722_004407_kafka_feed8_rep2,kafka,single,9,105.694568,105.739498,0.930791,0.9680752,103.158486,7
concurrency_n9_20260722_004407_kafka_feed8_rep3,kafka,single,9,105.289058,105.3152461,0.812151,0.833851,102.890395,7
