backend,n_groups,H,p,significant,medians,median_first,median_last,ratio_last_first
kafka,4,7.366602545968874,0.061086910317804735,False,N=1:0.7921; N=9:0.8017; N=10:0.9997; N=12:0.8393,0.792145,0.839281,1.0595042574276174
redis,4,6.455523859847574,0.09143313264710555,False,N=1:0.7211; N=9:0.8074; N=10:0.8548; N=12:0.8437,0.7210559999999999,0.843668,1.170045045045045
