n,kafka_median,redis_median,n_kafka,n_redis,U,p,rank_biserial,p_holm,significant
1,0.792145,0.7210559999999999,8,8,58.0,0.004662004662004662,-0.8125,0.018648018648018648,True
9,0.801714,0.8073775000000001,27,20,293.0,0.6282986371759213,-0.08518518518518525,0.6340956846349232,False
10,0.9997465,0.854756,30,17,304.0,0.2829087218103018,-0.19215686274509802,0.6340956846349232,False
12,0.839281,0.843668,35,19,402.0,0.21136522821164105,-0.20902255639097755,0.6340956846349232,False
