row_idx,match_id,event_id,period,minute,second,t_sim_seconds,t_emit_offset_s,event_type,team,player,timestamp,possession
0,3895232,224d6601-6768-4908-aa17-df7c0b6dda1b,1,0,0,0,0.0,Starting XI,Bayer Leverkusen,,00:00:00.000,1
1,3895232,4ecb7ba2-122b-4bc6-846d-d2e3e2af4165,1,0,0,0,0.0,Starting XI,Bayern Munich,,00:00:00.000,1
2,3895232,94fb7d19-0216-4cc8-9131-fc41d750b44c,1,0,0,0,0.0,Half Start,Bayer Leverkusen,,00:00:00.000,1
3,3895232,67915205-392c-4f78-8b75-4cf6b88abc1e,1,0,0,0,0.0,Half Start,Bayern Munich,,00:00:00.000,1
4,3895232,50c22c33-b812-4a3b-9c03-0175309809ed,1,0,0,0,0.0,Pass,Bayern Munich,Leroy Sané,00:00:00.852,2
5,3895232,13c196fe-41c3-4c6d-b932-ae273d6366ae,1,0,3,3,3.0,Ball Receipt*,Bayern Munich,Manuel Neuer,00:00:03.621,2
6,3895232,52a47a8d-6eaa-44db-8f69-211f4e07e98c,1,0,3,3,3.0,Carry,Bayern Munich,Manuel Neuer,00:00:03.621,2
7,3895232,e59874f7-65e7-45bd-8922-c4e916dffea7,1,0,4,4,4.0,Pressure,Bayer Leverkusen,Amine Adli,00:00:04.971,2
8,3895232,af3974ac-6705-4559-bf03-383e6c11415f,1,0,5,5,5.0,Pass,Bayern Munich,Manuel Neuer,00:00:05.246,2
9,3895232,1e83a8d2-f6c6-4672-8156-713b711f17ab,1,0,8,8,8.0,Pass,Bayer Leverkusen,Alejandro Grimaldo García,00:00:08.614,2
10,3895232,f77e9768-d08f-434c-9859-735cecca89a9,1,0,8,8,8.0,Duel,Bayern Munich,Noussair Mazraoui,00:00:08.614,2
11,3895232,abca18c7-40c4-4006-8f40-f91f94461503,1,0,10,10,10.0,Ball Receipt*,Bayer Leverkusen,Florian Wirtz,00:00:10.653,2
12,3895232,d6c082fc-5a3b-42ba-afb4-109e05cd82df,1,0,10,10,10.0,Ball Recovery,Bayern Munich,Dayotchanculle Upamecano,00:00:10.653,2
13,3895232,1c3bcaf1-c6c8-49f6-a59e-93c47419b86b,1,0,10,10,10.0,Carry,Bayern Munich,Dayotchanculle Upamecano,00:00:10.653,2
14,3895232,78d9fe97-33c1-458d-a5ea-e4f76eb8fb58,1,0,10,10,10.0,Pressure,Bayer Leverkusen,Florian Wirtz,00:00:10.957,2
15,3895232,2ce93214-095d-481c-9446-cac4e367133f,1,0,13,13,13.0,Pass,Bayern Munich,Dayotchanculle Upamecano,00:00:13.273,2
16,3895232,df7d499c-c9b5-46bc-b338-408069cb1d36,1,0,15,15,15.0,Pressure,Bayer Leverkusen,Amine Adli,00:00:15.956,2
17,3895232,ef295cce-1fe6-4cea-b8a6-73894fc3479f,1,0,16,16,16.0,Ball Receipt*,Bayern Munich,Manuel Neuer,00:00:16.227,2
18,3895232,191a020b-821a-4e22-8cb5-4118aa8fe854,1,0,16,16,16.0,Carry,Bayern Munich,Manuel Neuer,00:00:16.227,2
19,3895232,751e5d52-98e9-4de0-bfa2-82a77a5ec5c2,1,0,16,16,16.0,Pass,Bayern Munich,Manuel Neuer,00:00:16.267,2
20,3895232,018d5e68-06ad-4320-9c5e-5ba1b54c116e,1,0,17,17,17.0,Ball Receipt*,Bayern Munich,Min Jae Kim,00:00:17.898,2
21,3895232,58b81e68-5834-4d03-9cbb-0bd4074dd60a,1,0,17,17,17.0,Carry,Bayern Munich,Min Jae Kim,00:00:17.898,2
22,3895232,db4c46bd-c6e1-4733-b936-6f54fe0768e1,1,0,19,19,19.0,Pressure,Bayer Leverkusen,Nathan Tella,00:00:19.283,2
23,3895232,0202f997-46bc-47af-99f9-0bc571d96046,1,0,19,19,19.0,Pass,Bayern Munich,Min Jae Kim,00:00:19.375,2
24,3895232,ec02a8e4-1343-43a4-8925-b7dead32f78e,1,0,21,21,21.0,Pressure,Bayer Leverkusen,Amine Adli,00:00:21.567,2
25,3895232,4177404e-b001-4350-9a8e-5e519cc2e200,1,0,21,21,21.0,Ball Receipt*,Bayern Munich,Manuel Neuer,00:00:21.804,2
26,3895232,97652b5c-a1ee-4717-a935-317b76ade86a,1,0,21,21,21.0,Carry,Bayern Munich,Manuel Neuer,00:00:21.804,2
27,3895232,f3688322-3340-4fa1-8e80-ae80beda79cf,1,0,21,21,21.0,Pass,Bayern Munich,Manuel Neuer,00:00:21.884,2
28,3895232,d82da11e-236a-4873-9df5-15caaf429555,1,0,24,24,24.0,Ball Recovery,Bayer Leverkusen,Edmond Fayçal Tapsoba,00:00:24.341,3
29,3895232,ec17a3a4-1f9f-4600-9735-7515714b51c0,1,0,24,24,24.0,Carry,Bayer Leverkusen,Edmond Fayçal Tapsoba,00:00:24.341,3
30,3895232,f1b6e2d9-7bb8-40ed-ba4d-c3b69ff77a19,1,0,24,24,24.0,Pressure,Bayern Munich,Jamal Musiala,00:00:24.900,3
31,3895232,2e660a08-b7b3-40bb-81dc-add7a43b7615,1,0,25,25,25.0,Dribbled Past,Bayern Munich,Jamal Musiala,00:00:25.675,3
32,3895232,ff3d66eb-98fa-42e9-99f1-8c996ebecb0e,1,0,25,25,25.0,Dribble,Bayer Leverkusen,Edmond Fayçal Tapsoba,00:00:25.675,3
33,3895232,98a5f84e-7c40-40e9-976e-8520457b5921,1,0,25,25,25.0,Carry,Bayer Leverkusen,Edmond Fayçal Tapsoba,00:00:25.675,3
34,3895232,5eda2c39-e90d-4640-8f45-08b160fad109,1,0,27,27,27.0,Pass,Bayer Leverkusen,Edmond Fayçal Tapsoba,00:00:27.154,3
35,3895232,840ff5f2-d85f-41e9-a575-0f4c3957e089,1,0,28,28,28.0,Ball Receipt*,Bayer Leverkusen,Josip Stanišić,00:00:28.540,3
36,3895232,b55968fd-90e6-4fdd-8f96-f51de001624d,1,0,28,28,28.0,Carry,Bayer Leverkusen,Josip Stanišić,00:00:28.540,3
37,3895232,03f18fb2-bb09-429b-8c8e-77902d55e9ff,1,0,30,30,30.0,Pass,Bayer Leverkusen,Josip Stanišić,00:00:30.854,3
38,3895232,12ebcbbe-781c-4754-971a-c01ac8772b11,1,0,32,32,32.0,Ball Receipt*,Bayer Leverkusen,Piero Martín Hincapié Reyna,00:00:32.730,3
39,3895232,b46c5f89-d9b5-4ce1-a70e-cc0c90bfd3c2,1,0,32,32,32.0,Carry,Bayer Leverkusen,Piero Martín Hincapié Reyna,00:00:32.730,3
40,3895232,cea8d5d6-ae93-453d-89ce-21d3e197d9db,1,0,32,32,32.0,Pass,Bayer Leverkusen,Piero Martín Hincapié Reyna,00:00:32.738,3
41,3895232,2527a3eb-fb85-40ab-8b0a-4e911c2e6e99,1,0,34,34,34.0,Ball Receipt*,Bayer Leverkusen,Robert Andrich,00:00:34.026,3
