backend,config,n,tti_p50,tti_p95,transport_p50,transport_p95,schedlag_p50,n_runs
kafka,single,5,2.768355,97.17646579999997,0.5938915,3.4635107999999994,0.32471,15
redis,single,5,1.358654,3.0893602500000004,0.598915,1.72799025,0.359345,15
