n,kafka_transport_p50,kafka_runs,kafka_matched_med,redis_transport_p50,redis_runs,redis_matched_med
1,0.512,15,148,0.099,15,148
9,0.539,134,121,0.115,135,125
12,0.54,165,127,0.114,165,127
