n,kafka_transport_p50,kafka_runs,kafka_matched_med,redis_transport_p50,redis_runs,redis_matched_med
1,0.512,15,148,0.102,8,148
9,0.542,111,112,0.12,59,125
12,0.54,118,121,0.114,61,127
