tag,arm,rho,inversion,n_events,p_tail,estimator,traced_events
l88_base,base,0.8825,0.19564489112227806,2985,0.20689665196675514,exact counter,687986
l88_rt,rt,0.88221,0.0,2985,0.015857479670292465,exact counter,649788
