timestamp,backend,kafka_cpu_pct,kafka_mem_mib,redis_cpu_pct,redis_mem_mib
2026-06-12 19:32:42.918,redis,1.43,1104.9,0.23,131.9
2026-06-12 19:32:45.147,redis,1.62,1104.9,16.2,132.7
2026-06-12 19:32:47.128,redis,1.44,1104.9,17.88,134.2
2026-06-12 19:32:49.138,redis,1.65,1104.9,0.23,134.2
2026-06-12 19:32:51.147,redis,1.53,1104.9,0.25,134.2
2026-06-12 19:32:53.159,redis,1.34,1104.9,0.24,134.2
2026-06-12 19:32:55.182,redis,1.53,1104.9,0.25,134.2
2026-06-12 19:32:57.180,redis,1.48,1104.9,0.24,134.2
2026-06-12 19:32:59.191,redis,1.41,1104.9,0.24,134.2
2026-06-12 19:33:01.196,redis,1.44,1104.9,0.23,134.2
