run_id,backend,config,n_concurrency,decision_staleness_prob_s,n_decisive,mean_decisive_latency_ms
concurrency_n10_20260618_123920_redis_feed7_rep3,redis,single,10,256.5355046757387,40,23060.5286712
concurrency_n10_20260618_123920_redis_feed8_rep1,redis,single,10,305.7300525412827,40,27415.9540512
concurrency_n10_20260618_123920_redis_feed8_rep2,redis,single,10,269.79850428748637,40,24245.5009112
concurrency_n10_20260618_123920_redis_feed8_rep3,redis,single,10,248.29916088854515,40,22281.1586562
concurrency_n10_20260618_123920_redis_feed9_rep1,redis,single,10,293.3460678054412,40,26226.426481199996
concurrency_n10_20260618_123920_redis_feed9_rep2,redis,single,10,273.88089864529536,40,24595.8386312
concurrency_n10_20260618_123920_redis_feed9_rep3,redis,single,10,251.46771276656625,40,22574.9204737
concurrency_n1_20260618_122822_kafka_feed1_rep1,kafka,single,1,0.2864177517346105,40,25.3886787
concurrency_n1_20260618_122822_kafka_feed1_rep2,kafka,single,1,0.40588478056380306,40,30.860913700000005
concurrency_n1_20260618_122822_kafka_feed1_rep3,kafka,single,1,0.15247850085634487,40,13.9071145
concurrency_n1_20260618_122822_redis_feed1_rep1,redis,single,1,0.11265660478049862,40,10.128671175
concurrency_n1_20260618_122822_redis_feed1_rep2,redis,single,1,0.2547982600639601,40,21.6577787
concurrency_n1_20260618_122822_redis_feed1_rep3,redis,single,1,0.16748926828090646,40,14.7276037
concurrency_n20_20260618_124545_kafka_feed10_rep1,kafka,single,20,0.0,0,0.0
concurrency_n20_20260618_124545_kafka_feed10_rep2,kafka,single,20,0.0,0,0.0
concurrency_n20_20260618_124545_kafka_feed11_rep1,kafka,single,20,0.0,0,0.0
concurrency_n20_20260618_124545_kafka_feed11_rep2,kafka,single,20,0.0,0,0.0
concurrency_n20_20260618_124545_kafka_feed11_rep3,kafka,single,20,0.0,0,0.0
concurrency_n20_20260618_124545_kafka_feed12_rep1,kafka,single,20,0.0,0,0.0
concurrency_n20_20260618_124545_kafka_feed12_rep2,kafka,single,20,0.0,0,0.0
concurrency_n20_20260618_124545_kafka_feed12_rep3,kafka,single,20,160.64225686904354,40,14407.600963699999
concurrency_n20_20260618_124545_kafka_feed13_rep1,kafka,single,20,0.0,0,0.0
concurrency_n20_20260618_124545_kafka_feed13_rep2,kafka,single,20,0.0,0,0.0
concurrency_n20_20260618_124545_kafka_feed13_rep3,kafka,single,20,0.0,0,0.0
concurrency_n20_20260618_124545_kafka_feed14_rep1,kafka,single,20,0.0,0,0.0
concurrency_n20_20260618_124545_kafka_feed14_rep2,kafka,single,20,0.0,0,0.0
concurrency_n20_20260618_124545_kafka_feed14_rep3,kafka,single,20,0.0,0,0.0
concurrency_n20_20260618_124545_kafka_feed15_rep1,kafka,single,20,0.0,0,0.0
concurrency_n20_20260618_124545_kafka_feed15_rep2,kafka,single,20,0.0,0,0.0
concurrency_n20_20260618_124545_kafka_feed15_rep3,kafka,single,20,0.0,0,0.0
concurrency_n20_20260618_124545_kafka_feed16_rep1,kafka,single,20,0.0,0,0.0
concurrency_n20_20260618_124545_kafka_feed16_rep2,kafka,single,20,0.0,0,0.0
concurrency_n20_20260618_124545_kafka_feed17_rep1,kafka,single,20,0.0,0,0.0
concurrency_n20_20260618_124545_kafka_feed17_rep2,kafka,single,20,0.0,0,0.0
concurrency_n20_20260618_124545_kafka_feed17_rep3,kafka,single,20,155.79362019372098,40,13929.9664762
concurrency_n20_20260618_124545_kafka_feed18_rep2,kafka,single,20,0.0,0,0.0
concurrency_n20_20260618_124545_kafka_feed19_rep1,kafka,single,20,0.0,0,0.0
concurrency_n20_20260618_124545_kafka_feed19_rep2,kafka,single,20,0.0,0,0.0
concurrency_n20_20260618_124545_kafka_feed19_rep3,kafka,single,20,159.55542034189293,40,14355.9072087
concurrency_n20_20260618_124545_kafka_feed1_rep1,kafka,single,20,0.0,0,0.0
concurrency_n20_20260618_124545_kafka_feed1_rep2,kafka,single,20,0.0,0,0.0
concurrency_n20_20260618_124545_kafka_feed1_rep3,kafka,single,20,0.0,0,0.0
concurrency_n20_20260618_124545_kafka_feed20_rep1,kafka,single,20,0.0,0,0.0
concurrency_n20_20260618_124545_kafka_feed20_rep2,kafka,single,20,0.0,0,0.0
concurrency_n20_20260618_124545_kafka_feed20_rep3,kafka,single,20,0.0,0,0.0
concurrency_n20_20260618_124545_kafka_feed2_rep1,kafka,single,20,0.0,0,0.0
concurrency_n20_20260618_124545_kafka_feed2_rep2,kafka,single,20,0.0,0,0.0
concurrency_n20_20260618_124545_kafka_feed2_rep3,kafka,single,20,0.0,0,0.0
concurrency_n20_20260618_124545_kafka_feed3_rep1,kafka,single,20,0.0,0,0.0
concurrency_n20_20260618_124545_kafka_feed3_rep2,kafka,single,20,0.0,0,0.0
concurrency_n20_20260618_124545_kafka_feed4_rep1,kafka,single,20,0.0,0,0.0
concurrency_n20_20260618_124545_kafka_feed4_rep2,kafka,single,20,0.0,0,0.0
concurrency_n20_20260618_124545_kafka_feed4_rep3,kafka,single,20,0.0,0,0.0
concurrency_n20_20260618_124545_kafka_feed5_rep1,kafka,single,20,0.0,0,0.0
concurrency_n20_20260618_124545_kafka_feed5_rep3,kafka,single,20,0.0,0,0.0
concurrency_n20_20260618_124545_kafka_feed6_rep2,kafka,single,20,0.0,0,0.0
concurrency_n20_20260618_124545_kafka_feed7_rep2,kafka,single,20,0.0,0,0.0
concurrency_n20_20260618_124545_kafka_feed8_rep1,kafka,single,20,0.0,0,0.0
concurrency_n20_20260618_124545_kafka_feed8_rep2,kafka,single,20,0.0,0,0.0
concurrency_n20_20260618_124545_kafka_feed8_rep3,kafka,single,20,0.0,0,0.0
concurrency_n20_20260618_124545_kafka_feed9_rep1,kafka,single,20,0.0,0,0.0
concurrency_n20_20260618_124545_kafka_feed9_rep2,kafka,single,20,0.0,0,0.0
concurrency_n20_20260618_124545_kafka_feed9_rep3,kafka,single,20,0.0,0,0.0
concurrency_n20_20260618_124545_redis_feed10_rep1,redis,single,20,965.5222897092864,40,85409.4246937
concurrency_n20_20260618_124545_redis_feed10_rep2,redis,single,20,1014.3142226466081,40,89710.7763637
concurrency_n20_20260618_124545_redis_feed10_rep3,redis,single,20,1047.4190128485786,40,92695.7964112
concurrency_n20_20260618_124545_redis_feed11_rep1,redis,single,20,998.3980833111204,40,88359.14029119999
concurrency_n20_20260618_124545_redis_feed11_rep2,redis,single,20,1023.0584839410169,40,90523.2202962
concurrency_n20_20260618_124545_redis_feed11_rep3,redis,single,20,1043.8523671846056,40,92362.3017162
concurrency_n20_20260618_124545_redis_feed12_rep1,redis,single,20,984.0847944313316,40,87038.3474337
concurrency_n20_20260618_124545_redis_feed12_rep2,redis,single,20,1045.7197228288262,40,92598.40948870001
concurrency_n20_20260618_124545_redis_feed12_rep3,redis,single,20,1028.0293346399044,40,90914.0188762
concurrency_n20_20260618_124545_redis_feed13_rep1,redis,single,20,986.4743882945091,40,87297.2088787
concurrency_n20_20260618_124545_redis_feed13_rep2,redis,single,20,1053.4451570238316,40,93318.4644037
concurrency_n20_20260618_124545_redis_feed13_rep3,redis,single,20,1009.6941573840422,40,89281.3969712
concurrency_n20_20260618_124545_redis_feed14_rep1,redis,single,20,989.4976493751788,40,87508.8432112
concurrency_n20_20260618_124545_redis_feed14_rep2,redis,single,20,1051.0819856748178,40,93097.0608087
concurrency_n20_20260618_124545_redis_feed14_rep3,redis,single,20,1014.4204422082147,40,89698.9371712
concurrency_n20_20260618_124545_redis_feed15_rep1,redis,single,20,978.2906364464981,40,86549.6599712
concurrency_n20_20260618_124545_redis_feed15_rep2,redis,single,20,1008.8254628739442,40,89250.98072620001
concurrency_n20_20260618_124545_redis_feed15_rep3,redis,single,20,1015.1631079615912,40,89781.9463387
concurrency_n20_20260618_124545_redis_feed16_rep1,redis,single,20,1010.9421046513602,40,89544.81592369999
concurrency_n20_20260618_124545_redis_feed16_rep2,redis,single,20,1014.0236943633524,40,89691.03530619999
concurrency_n20_20260618_124545_redis_feed16_rep3,redis,single,20,1051.0383081265584,40,93065.6911587
concurrency_n20_20260618_124545_redis_feed17_rep1,redis,single,20,971.6735343985157,40,85950.4365362
concurrency_n20_20260618_124545_redis_feed17_rep2,redis,single,20,1013.0589598644448,40,89601.7075262
concurrency_n20_20260618_124545_redis_feed17_rep3,redis,single,20,1010.5559814692687,40,89368.08709870002
concurrency_n20_20260618_124545_redis_feed18_rep1,redis,single,20,974.4744969235362,40,86194.0868562
concurrency_n20_20260618_124545_redis_feed18_rep2,redis,single,20,1007.1765186459028,40,89102.0871312
concurrency_n20_20260618_124545_redis_feed18_rep3,redis,single,20,1009.0954209718827,40,89241.0521912
concurrency_n20_20260618_124545_redis_feed19_rep1,redis,single,20,969.8727123352695,40,85788.5950787
concurrency_n20_20260618_124545_redis_feed19_rep2,redis,single,20,1042.4585601375275,40,92289.5752937
concurrency_n20_20260618_124545_redis_feed19_rep3,redis,single,20,1030.4491309899918,40,91127.89532119999
concurrency_n20_20260618_124545_redis_feed1_rep1,redis,single,20,969.8740545250098,40,85784.8586312
concurrency_n20_20260618_124545_redis_feed1_rep2,redis,single,20,1053.56262671871,40,93319.9882237
concurrency_n20_20260618_124545_redis_feed1_rep3,redis,single,20,1051.343124288245,40,93076.9391812
concurrency_n20_20260618_124545_redis_feed20_rep1,redis,single,20,983.8308616615182,40,87049.4955787
concurrency_n20_20260618_124545_redis_feed20_rep2,redis,single,20,1011.8507211251117,40,89514.8344962
concurrency_n20_20260618_124545_redis_feed20_rep3,redis,single,20,1009.4894588460788,40,89265.9826962
concurrency_n20_20260618_124545_redis_feed2_rep1,redis,single,20,975.0192555991091,40,86240.0224837
concurrency_n20_20260618_124545_redis_feed2_rep2,redis,single,20,1044.0605113271613,40,92452.8356537
concurrency_n20_20260618_124545_redis_feed2_rep3,redis,single,20,1038.809074123462,40,91865.7911112
concurrency_n20_20260618_124545_redis_feed3_rep1,redis,single,20,971.9129850555375,40,85972.5487387
concurrency_n20_20260618_124545_redis_feed3_rep2,redis,single,20,1009.1503748204407,40,89258.53229120001
concurrency_n20_20260618_124545_redis_feed3_rep3,redis,single,20,1017.58370795899,40,89995.7175112
concurrency_n20_20260618_124545_redis_feed4_rep1,redis,single,20,1020.5267498580937,40,90354.66348619999
concurrency_n20_20260618_124545_redis_feed4_rep2,redis,single,20,1015.6618467107209,40,89835.1705037
concurrency_n20_20260618_124545_redis_feed4_rep3,redis,single,20,1016.9315150006764,40,89938.3637262
concurrency_n20_20260618_124545_redis_feed5_rep1,redis,single,20,1015.209289581785,40,89923.03599620001
concurrency_n20_20260618_124545_redis_feed5_rep2,redis,single,20,1004.0417678635997,40,88811.9758437
concurrency_n20_20260618_124545_redis_feed5_rep3,redis,single,20,1014.0300106742869,40,89664.8050137
concurrency_n20_20260618_124545_redis_feed6_rep1,redis,single,20,998.0844060012806,40,88340.0219512
concurrency_n20_20260618_124545_redis_feed6_rep2,redis,single,20,1003.2132090794207,40,88732.50497370001
concurrency_n20_20260618_124545_redis_feed6_rep3,redis,single,20,1024.011664467041,40,90554.3316262
concurrency_n20_20260618_124545_redis_feed7_rep1,redis,single,20,1012.5519877960373,40,89688.62713369999
concurrency_n20_20260618_124545_redis_feed7_rep2,redis,single,20,1015.2072485431952,40,89809.6779262
concurrency_n20_20260618_124545_redis_feed7_rep3,redis,single,20,1032.8770672618464,40,91349.7226387
concurrency_n20_20260618_124545_redis_feed8_rep1,redis,single,20,985.8288571094321,40,87239.2935312
concurrency_n20_20260618_124545_redis_feed8_rep2,redis,single,20,1019.0446787851379,40,90166.09923369999
concurrency_n20_20260618_124545_redis_feed8_rep3,redis,single,20,1031.4316928384324,40,91200.57155369999
concurrency_n20_20260618_124545_redis_feed9_rep1,redis,single,20,966.9775714215325,40,85534.8452337
concurrency_n20_20260618_124545_redis_feed9_rep2,redis,single,20,1028.6821513147743,40,90971.72287119999
concurrency_n20_20260618_124545_redis_feed9_rep3,redis,single,20,1008.2861635037992,40,89161.07094620001
concurrency_n5_20260618_123346_kafka_feed1_rep1,kafka,single,5,0.48157332881236936,40,45.481728700000005
concurrency_n5_20260618_123346_kafka_feed1_rep2,kafka,single,5,2.510787522518445,40,224.7535312
concurrency_n5_20260618_123346_kafka_feed1_rep3,kafka,single,5,0.5330782229806731,40,50.1413087
concurrency_n5_20260618_123346_kafka_feed2_rep1,kafka,single,5,0.32724613009655373,40,30.180363699999997
concurrency_n5_20260618_123346_kafka_feed2_rep2,kafka,single,5,2.4561419848687107,40,219.4152337
concurrency_n5_20260618_123346_kafka_feed2_rep3,kafka,single,5,0.33287921356994565,40,30.34270785
concurrency_n5_20260618_123346_kafka_feed3_rep1,kafka,single,5,0.637150947461807,40,52.0615587
concurrency_n5_20260618_123346_kafka_feed3_rep2,kafka,single,5,2.455126874465501,40,220.9166287
concurrency_n5_20260618_123346_kafka_feed3_rep3,kafka,single,5,0.4877650585674456,40,42.3421087
concurrency_n5_20260618_123346_kafka_feed4_rep1,kafka,single,5,0.5163036973137669,40,40.785196199999994
concurrency_n5_20260618_123346_kafka_feed4_rep2,kafka,single,5,2.4954402702335154,40,216.1088312
concurrency_n5_20260618_123346_kafka_feed4_rep3,kafka,single,5,0.5689539129858717,40,51.88764619999999
concurrency_n5_20260618_123346_kafka_feed5_rep1,kafka,single,5,0.5540003347592197,40,45.4523637
concurrency_n5_20260618_123346_kafka_feed5_rep2,kafka,single,5,2.4570081869483222,40,219.7331062
