run_id,backend,config,n_concurrency,decision_staleness_prob_s,n_decisive,mean_decisive_latency_ms
concurrency_n5_20260721_165206_kafka_feed1_rep1,kafka,single,5,0.10349079944774034,5,92.4613606
concurrency_n5_20260721_165206_kafka_feed1_rep2,kafka,single,5,0.12075915570771685,5,105.0052606
concurrency_n5_20260721_165206_kafka_feed1_rep3,kafka,single,5,0.09846642648700234,5,88.0199006
concurrency_n5_20260721_165206_kafka_feed2_rep1,kafka,single,5,0.0520668972505883,3,87.521689
concurrency_n5_20260721_165206_kafka_feed2_rep2,kafka,single,5,0.05759800035228867,3,108.85075566666667
concurrency_n5_20260721_165206_kafka_feed2_rep3,kafka,single,5,0.05351811954016543,3,90.171489
concurrency_n5_20260721_165206_kafka_feed3_rep1,kafka,single,5,0.1268091459915856,6,99.26182250000001
concurrency_n5_20260721_165206_kafka_feed3_rep2,kafka,single,5,0.12268955910612589,6,98.33235583333334
concurrency_n5_20260721_165206_kafka_feed3_rep3,kafka,single,5,0.1137881467875068,6,91.46215583333333
concurrency_n5_20260721_165206_kafka_feed4_rep1,kafka,single,5,0.16451148213394404,4,78.4580835
concurrency_n5_20260721_165206_kafka_feed4_rep2,kafka,single,5,0.18547533149891035,4,87.5136335
concurrency_n5_20260721_165206_kafka_feed4_rep3,kafka,single,5,0.18525326962541916,4,86.1562585
concurrency_n5_20260721_165206_kafka_feed5_rep1,kafka,single,5,0.13846931799866147,5,96.160447
concurrency_n5_20260721_165206_kafka_feed5_rep2,kafka,single,5,0.14034584262297736,5,94.425987
concurrency_n5_20260721_165206_kafka_feed5_rep3,kafka,single,5,0.11858800605243387,5,87.56136699999999
concurrency_n5_20260721_165206_redis_feed1_rep1,redis,single,5,75.04601187238308,5,68891.7006406
concurrency_n5_20260721_165206_redis_feed1_rep2,redis,single,5,74.78041793148041,5,68647.7788206
concurrency_n5_20260721_165206_redis_feed1_rep3,redis,single,5,75.75201765884849,5,69504.41148059999
concurrency_n5_20260721_165206_redis_feed2_rep1,redis,single,5,31.57912007186564,3,64620.22875566668
concurrency_n5_20260721_165206_redis_feed2_rep2,redis,single,5,32.07104894326261,3,65486.685189
concurrency_n5_20260721_165206_redis_feed2_rep3,redis,single,5,30.907551480032062,3,63446.19032233334
concurrency_n5_20260721_165206_redis_feed3_rep1,redis,single,5,72.83109066269971,6,74057.3762225
concurrency_n5_20260721_165206_redis_feed3_rep2,redis,single,5,71.7273047751276,6,73182.31617250001
concurrency_n5_20260721_165206_redis_feed3_rep3,redis,single,5,71.70637151120918,6,73138.50855583334
concurrency_n5_20260721_165206_redis_feed4_rep1,redis,single,5,252.68063541410424,4,86495.16435850001
concurrency_n5_20260721_165206_redis_feed4_rep2,redis,single,5,253.8384253532029,4,87032.9422585
concurrency_n5_20260721_165206_redis_feed4_rep3,redis,single,5,255.51156933378394,4,87839.29300850001
concurrency_n5_20260721_165206_redis_feed5_rep1,redis,single,5,117.12595034210698,5,89313.88054700001
concurrency_n5_20260721_165206_redis_feed5_rep2,redis,single,5,118.2968366718596,5,90121.157347
concurrency_n5_20260721_165206_redis_feed5_rep3,redis,single,5,117.33587738209245,5,89431.004367
