n,margin,n_kafka,n_redis,mean_kafka,mean_redis,mean_diff,ci90_lo,ci90_hi,p_tost,equivalent,boot_diff,boot_ci90_lo,boot_ci90_hi,boot_p_tost,boot_equivalent,hl_shift,hl_ci90_lo,hl_ci90_hi,hl_p_tost,hl_equivalent,methods_agree
1,40.0,18,18,2.072062611111111,1.0305240555555555,1.0415385555555554,0.7310204326838126,1.3520566784272983,2.6330530525208844e-31,True,1.0387836495722222,0.7995667694444443,1.3541177166666662,0.0,True,0.7831855,0.6909050000000001,1.0095360000000002,0.0,True,True
5,40.0,15,15,3.663300266666667,1.3755602333333328,2.287740033333334,2.0704702145892417,2.5050098520774267,3.6576544036645387e-29,True,2.2900836439399996,2.0928042600000003,2.484125278333333,0.0,True,2.395625,2.075258,2.4837325000000003,0.0,True,True
10,40.0,30,30,8.037601883333332,9.597419316666667,-1.5598174333333343,-4.662031506807754,1.5423966401410847,2.6553512533668e-23,True,-1.5688467606366674,-4.803160469166665,1.2170475633333322,0.0,True,0.7663822499999999,-0.8032000000000004,2.0398544375,0.0,True,True
