n,kafka_median,redis_median,n_kafka,n_redis,U,p,rank_biserial,p_holm,significant
1,0.472827,0.44976099999999997,18,18,188.0,0.41979076804604143,-0.16049382716049387,0.41979076804604143,False
5,0.904591,0.621539,15,15,221.0,7.477207640048691e-06,-0.9644444444444444,2.243162292014607e-05,True
10,1.63203875,3.27149425,30,30,184.0,8.663432943179647e-05,0.5911111111111111,0.00017326865886359294,True
