backend,n_groups,H,p,significant,medians,median_first,median_last,ratio_last_first
kafka,3,44.663095238095224,2.002313597818403e-10,True,N=1:0.4728; N=5:0.9046; N=10:1.632,0.472827,1.63203875,3.451661495642169
redis,3,52.93786375661375,3.1966047714701047e-12,True,N=1:0.4498; N=5:0.6215; N=10:3.271,0.44976099999999997,3.27149425,7.27385044501413
