n,margin,n_kafka,n_redis,mean_kafka,mean_redis,mean_diff,ci90_lo,ci90_hi,p_tost,equivalent,boot_diff,boot_ci90_lo,boot_ci90_hi,boot_p_tost,boot_equivalent,methods_agree
1,40.0,18,18,0.5570877777777777,0.4657434444444445,0.09134433333333325,-0.02672664391509065,0.20941531058175716,6.044225542121071e-40,True,0.09028872919444444,-0.0016528527777777875,0.209287536111111,0.0,True,True
5,40.0,15,15,0.9130493333333335,0.6262462333333333,0.2868031000000002,0.20786672662626376,0.36573947337373663,1.3315828942000296e-38,True,0.2877583207300001,0.21943009500000005,0.36099340999999996,0.0,True,True
10,40.0,30,30,2.00545395,5.137753616666668,-3.132299666666668,-4.974534919750302,-1.290064413583034,9.008390976488712e-29,True,-3.1402482617200005,-5.0642514175,-1.5278070549999998,0.0,True,True
