timestamp,backend,kafka_cpu_pct,kafka_mem_mib,redis_cpu_pct,redis_mem_mib
2026-06-12 19:25:46.836,kafka,137.96,1270.78,0.22,130.2
2026-06-12 19:25:49.457,kafka,2.16,1117.18,0.23,130.2
2026-06-12 19:25:51.429,kafka,37.33,1121.28,0.22,130.2
2026-06-12 19:25:53.441,kafka,1.61,1116.16,0.24,130.2
2026-06-12 19:25:55.441,kafka,1.59,1116.16,0.22,130.2
2026-06-12 19:25:57.466,kafka,1.68,1116.16,0.21,130.2
2026-06-12 19:25:59.471,kafka,1.56,1116.16,0.24,130.2
2026-06-12 19:26:01.474,kafka,1.57,1116.16,0.24,130.2
2026-06-12 19:26:03.490,kafka,1.72,1116.16,0.25,130.2
2026-06-12 19:26:05.505,kafka,1.67,1116.16,0.22,130.2
2026-06-12 19:26:07.517,kafka,1.65,1116.16,0.22,130.2
2026-06-12 19:26:09.512,kafka,1.46,1116.16,0.22,130.2
2026-06-12 19:26:11.525,kafka,1.51,1116.16,0.23,130.2
2026-06-12 19:26:13.541,kafka,1.6,1116.16,0.22,130.2
2026-06-12 19:26:15.547,kafka,1.7,1116.16,0.21,130.2
2026-06-12 19:26:17.567,kafka,1.91,1116.16,0.23,130.2
2026-06-12 19:26:19.579,kafka,1.42,1116.16,0.24,130.2
2026-06-12 19:26:21.582,kafka,1.56,1116.16,0.23,130.2
2026-06-12 19:26:23.599,kafka,1.46,1116.16,0.24,130.2
