backend,config,n,tti_p50,tti_p95,transport_p50,transport_p95,schedlag_p50,n_runs
kafka,single,5,44.483267,66.31244699999999,7.5899,21.5247,6.6785835,15
redis,single,5,10525.2825,20100.883353799993,10494.4571,20071.328619999997,10.2125,15
