t_wall,rho,loadavg
1784967735.9698272,0.98091,6.59
1784967736.470431,0.99248,6.59
1784967736.971787,0.99751,6.59
1784967737.667079,0.99461,6.59
1784967738.3088117,0.99805,6.59
1784967738.8099139,0.96259,6.59
1784967739.3106966,0.93,6.94
1784967739.812197,0.9275,6.94
1784967740.313279,0.9225,6.94
1784967740.8140638,0.91228,6.94
1784967741.317255,0.89303,6.94
1784967741.8180418,0.87719,6.94
1784967742.3188255,0.8803,6.94
1784967742.8192449,0.8825,6.94
1784967743.320074,0.8825,6.94
1784967743.820862,0.88279,6.94
1784967744.3232703,0.87781,7.03
1784967744.824261,0.8806,7.03
1784967745.327241,0.88529,7.03
1784967745.8280034,0.8825,7.03
1784967746.3287485,0.88,7.03
1784967746.8292654,0.87811,7.03
1784967747.3300447,0.885,7.03
1784967747.8308403,0.8825,7.03
1784967748.3312328,0.8803,7.03
1784967748.8320394,0.88,7.03
1784967749.333262,0.88557,6.78
1784967749.8340418,0.88221,6.78
1784967750.3372552,0.87593,6.78
1784967750.8382607,0.8825,6.78
1784967751.3402689,0.88557,6.78
1784967751.8411126,0.8775,6.78
1784967752.341937,0.88,6.78
1784967752.843323,0.88308,6.78
1784967753.344133,0.88221,6.78
1784967753.8448935,0.87781,6.78
1784967754.3452625,0.8803,6.88
1784967754.8462648,0.885,6.88
1784967755.347871,0.88308,6.88
1784967755.8482387,0.8775,6.88
1784967756.3490033,0.8797,6.88
1784967756.8503177,0.88557,6.88
1784967757.3512642,0.88221,6.88
1784967757.853324,0.87593,6.88
1784967758.354141,0.88279,6.88
1784967758.8549323,0.885,6.88
1784967759.3556848,0.8875,7.05
1784967759.8573294,0.8725,7.05
1784967760.3581367,0.8775,7.05
1784967760.8586981,0.88279,7.05
1784967761.359305,0.88221,7.05
1784967761.8603292,0.87811,7.05
1784967762.3611512,0.8775,7.05
1784967762.8632665,0.88308,7.05
1784967763.364034,0.8803,7.05
1784967763.8648758,0.88279,7.05
1784967764.3672547,0.87781,6.97
1784967764.8680274,0.88279,6.97
1784967765.3687847,0.8825,6.97
1784967765.8695998,0.87781,6.97
1784967766.3712423,0.88308,6.97
1784967766.872007,0.88,6.97
1784967767.3728113,0.8875,6.97
1784967767.8736904,0.875,6.97
1784967768.3762612,0.88279,6.97
1784967768.8770964,0.88279,6.97
1784967769.3778512,0.88,6.97
1784967769.8793154,0.8775,6.97
1784967770.3801224,0.8803,6.97
1784967770.8808687,0.8775,6.97
1784967771.383266,0.88119,6.97
1784967771.884088,0.8825,6.97
1784967772.3848894,0.8825,6.97
1784967772.8852916,0.87781,6.97
1784967773.3872802,0.88279,6.97
1784967773.8881137,0.88221,6.97
1784967774.3889039,0.8803,7.05
1784967774.8892598,0.8825,7.05
1784967775.392306,0.88308,7.05
1784967775.893111,0.8806,7.05
1784967776.3938806,0.885,7.05
1784967776.894279,0.87781,7.05
1784967777.395145,0.88471,7.05
1784967777.8959708,0.8803,7.05
1784967778.396275,0.88221,7.05
1784967778.8971403,0.8806,6.97
1784967779.3982873,0.8803,6.97
1784967779.89937,0.8825,6.97
1784967780.4002247,0.8825,6.97
1784967780.9042501,0.88119,6.97
1784967781.4050255,0.88,6.97
1784967781.9058294,0.87781,6.97
1784967782.4092739,0.88529,6.97
1784967782.9100862,0.8825,6.97
1784967783.4108722,0.8803,6.97
1784967783.9116514,0.87781,6.97
1784967784.4142833,0.88337,6.97
1784967784.9172852,0.88279,6.97
1784967785.4180923,0.87781,6.97
1784967785.9188728,0.88279,6.97
1784967786.419285,0.88308,6.97
1784967786.9200788,0.8794,6.97
1784967787.42086,0.8803,6.97
1784967787.921281,0.88471,6.97
1784967788.4220777,0.8803,6.97
1784967788.923333,0.8803,7.05
1784967789.4262848,0.88089,7.05
1784967789.9270864,0.88529,7.05
1784967790.427872,0.8825,7.05
1784967790.9282665,0.88,7.05
1784967791.4290562,0.88308,7.05
1784967791.929882,0.88279,7.05
1784967792.4302542,0.8825,7.05
1784967792.9312458,0.88,7.05
1784967793.4322634,0.88308,7.05
1784967793.934276,0.88279,7.05
1784967794.4350874,0.8803,7.05
1784967794.9358878,0.8775,7.05
1784967795.4362733,0.88,7.05
1784967795.9370372,0.88,7.05
1784967796.4382823,0.88806,7.05
1784967796.9390526,0.87218,7.05
1784967797.4402437,0.88089,7.05
1784967797.943338,0.88586,7.05
1784967798.4441705,0.8803,7.05
1784967798.944921,0.8794,7.04
1784967799.4452636,0.88279,7.04
1784967799.9460773,0.88,7.04
1784967800.4468882,0.88279,7.04
1784967800.9472537,0.88,7.04
1784967801.448025,0.8803,7.04
1784967801.9493163,0.885,7.04
1784967802.4512446,0.87781,7.04
1784967802.9521098,0.87719,7.04
1784967803.4542725,0.88089,7.04
1784967803.9550788,0.87719,7.12
1784967804.4558487,0.88308,7.12
1784967804.9562492,0.87531,7.12
1784967805.4570093,0.88,7.12
1784967805.959248,0.88308,7.12
1784967806.4600801,0.8825,7.12
1784967806.9608912,0.88279,7.12
1784967807.4612532,0.875,7.12
1784967807.96202,0.88308,7.12
1784967808.4652576,0.8803,7.12
1784967808.966131,0.88,7.11
1784967809.4669402,0.88308,7.11
1784967809.9672859,0.87781,7.11
1784967810.468107,0.88221,7.11
1784967810.968878,0.88279,7.11
1784967811.46968,0.875,7.11
1784967811.9722826,0.88308,7.11
1784967812.4730952,0.88,7.11
1784967812.9739084,0.87841,7.11
1784967813.4742856,0.8825,7.11
1784967813.9750888,0.8797,7.02
1784967814.4759514,0.8825,7.02
1784967814.9762964,0.8825,7.02
1784967815.480337,0.88119,7.02
1784967815.981153,0.8775,7.02
1784967816.4819484,0.885,7.02
1784967816.9822633,0.88308,7.02
1784967817.48303,0.8825,7.02
1784967817.9852622,0.8806,7.02
1784967818.4860518,0.88221,7.02
1784967818.9868586,0.8806,7.02
1784967819.4872863,0.8825,7.02
1784967819.9880426,0.8803,7.02
1784967820.4888806,0.9125,7.02
1784967820.9896836,0.905,7.02
1784967821.4932892,0.88529,7.02
1784967821.9941146,0.87781,7.02
1784967822.4949222,0.8803,7.02
1784967822.9952645,0.885,7.02
1784967823.4961426,0.8806,7.02
1784967823.9969864,0.88,7.02
1784967824.497761,0.88,7.02
1784967824.998555,0.88586,7.02
1784967825.5023398,0.87811,7.02
1784967826.003168,0.8825,7.02
1784967826.503985,0.88442,7.02
1784967827.004767,0.87811,7.02
1784967827.5052779,0.88279,7.02
1784967828.0060952,0.88,7.02
1784967828.5068989,0.88279,7.02
1784967829.0072732,0.88279,7.18
1784967829.5080893,0.8825,7.18
1784967830.0089087,0.88,7.18
1784967830.5113406,0.88366,7.18
1784967831.0121927,0.88,7.18
1784967831.515286,0.8803,7.18
1784967832.0160854,0.88,7.18
1784967832.5168817,0.88221,7.18
1784967833.0173597,0.88308,7.18
1784967833.5181794,0.88221,7.18
1784967834.0202782,0.87562,7.24
1784967834.521093,0.88279,7.24
1784967835.021951,0.88529,7.24
1784967835.522263,0.8775,7.24
1784967836.0230427,0.88,7.24
1784967836.5253472,0.8806,7.24
1784967837.0261989,0.88,7.24
1784967837.526972,0.88308,7.24
1784967838.0272748,0.88,7.24
1784967838.5283442,0.885,7.24
1784967839.0313888,0.88089,7.3
1784967839.5323954,0.8803,7.3
1784967840.0342793,0.8803,7.3
1784967840.5350926,0.88,7.3
1784967841.0358934,0.885,7.3
1784967841.536707,0.87811,7.3
1784967842.0382876,0.8803,7.3
1784967842.5391042,0.8825,7.3
1784967843.0399168,0.88529,7.3
1784967843.5407314,0.87562,7.3
1784967844.0432537,0.88279,7.2
1784967844.5440483,0.8825,7.2
1784967845.0448737,0.88279,7.2
1784967845.5492914,0.87624,7.2
1784967846.0502808,0.8806,7.2
1784967846.5511408,0.88471,7.2
1784967847.0519514,0.87781,7.2
1784967847.552282,0.8825,7.2
1784967848.0531592,0.88,7.2
1784967848.5539618,0.885,7.2
1784967849.0542593,0.8803,7.26
1784967849.5550735,0.8825,7.26
1784967850.0558333,0.8806,7.26
1784967850.5562909,0.88471,7.26
1784967851.0570884,0.88,7.26
1784967851.559292,0.88089,7.26
1784967852.0601168,0.8797,7.26
1784967852.5609841,0.88529,7.26
1784967853.0621274,0.87032,7.26
1784967853.5629265,0.88221,7.26
1784967854.0643158,0.8806,7.32
1784967854.565224,0.88,7.32
1784967855.06829,0.88557,7.32
1784967855.5691645,0.885,7.32
1784967856.0699508,0.88,7.32
1784967856.5702853,0.88308,7.32
1784967857.071118,0.88,7.32
1784967857.5732775,0.88279,7.32
1784967858.0740776,0.87781,7.32
1784967858.574888,0.8825,7.32
1784967859.0756476,0.8803,7.38
1784967859.579279,0.88089,7.38
1784967860.080089,0.88221,7.38
1784967860.5809526,0.88279,7.38
