backend,config,n,tti_p50,tti_p95,transport_p50,transport_p95,schedlag_p50,n_runs
kafka,single,5,40.1628,2065.4245135999945,8.3259,2031.5773399999962,0.529367,15
redis,single,5,34.308067,56.0250505,10.4134,21.4578,2.372267,15
