timestamp,backend,kafka_cpu_pct,kafka_mem_mib,redis_cpu_pct,redis_mem_mib
2026-06-12 20:06:52.016,kafka,155.33,1182.72,0.2,140.3
2026-06-12 20:06:54.641,kafka,1.57,1117.18,0.25,140.3
2026-06-12 20:06:56.610,kafka,35.19,1117.18,0.2,140.3
2026-06-12 20:06:58.622,kafka,33.76,1118.21,0.21,140.3
2026-06-12 20:07:00.633,kafka,32.93,1118.21,0.23,140.3
2026-06-12 20:07:02.636,kafka,11.24,1118.21,0.21,140.3
2026-06-12 20:07:04.661,kafka,1.76,1118.21,0.24,140.3
2026-06-12 20:07:06.664,kafka,1.6,1118.21,0.21,140.3
2026-06-12 20:07:08.681,kafka,1.66,1118.21,0.23,140.3
2026-06-12 20:07:10.686,kafka,1.87,1118.21,0.24,140.3
