t_wall_ns,pid,on_cpu_ns,wait_ns,slices,n_threads,schedstats_enabled
1784996614479901965,342021,7196517,21133289,4,1,1
1784996614479901965,342023,8166103,26971988,8,1,1
1784996614479901965,342031,7396819,18188299,5,1,1
1784996614479901965,342035,301721144,6048175,98,2,1
1784996614479901965,342040,288802697,3928805,108,2,1
1784996614479901965,342041,7399662,12684032,6,1,1
1784996614479901965,342044,286873947,5674425,117,2,1
1784996614479901965,342047,7111210,116809808,6,1,1
1784996614479901965,342052,7369358,80765188,4,1,1
1784996614479901965,342056,220355164,12441155,738,1,1
1784996614479901965,342057,7755015,121963082,7,1,1
1784996614479901965,342060,215358433,11228685,721,1,1
1784996614479901965,342064,7059582,32133372,5,1,1
1784996614479901965,342067,7123146,30390508,6,1,1
1784996614479901965,342069,181893091,3076976,29,2,1
1784996614479901965,342070,179312928,31238027,38,2,1
1784996614479901965,342071,163927133,43764642,330,1,1
1784996614479901965,342072,174735837,35149417,309,1,1
1784996614479901965,342077,7227132,53464159,13,1,1
1784996614479901965,342079,167501739,573489,302,1,1
1784996615086499043,342021,7196517,21133289,4,1,1
1784996615086499043,342023,8166103,26971988,8,1,1
1784996615086499043,342031,7396819,18188299,5,1,1
1784996615086499043,342035,910069335,6535552,193,2,1
1784996615086499043,342040,897894006,4641442,202,2,1
1784996615086499043,342041,7399662,12684032,6,1,1
1784996615086499043,342044,894450179,6185429,209,2,1
1784996615086499043,342047,7111210,116809808,6,1,1
1784996615086499043,342052,7369358,80765188,4,1,1
1784996615086499043,342056,449407005,21896550,2584,1,1
1784996615086499043,342057,7755015,121963082,7,1,1
1784996615086499043,342060,442939984,23940095,2580,1,1
1784996615086499043,342064,7059582,32133372,5,1,1
1784996615086499043,342067,7123146,30390508,6,1,1
1784996615086499043,342069,777197645,3924938,178,2,1
1784996615086499043,342070,752766259,32569225,196,2,1
1784996615086499043,342071,383422638,51445959,2104,1,1
1784996615086499043,342072,396432807,39856813,2085,1,1
1784996615086499043,342077,7227132,53464159,13,1,1
1784996615086499043,342079,381871731,2678232,2026,1,1
1784996616899113935,342021,7196517,21133289,4,1,1
1784996616899113935,342023,8166103,26971988,8,1,1
1784996616899113935,342031,7396819,18188299,5,1,1
1784996616899113935,342035,1691137217,186690819,294,2,1
1784996616899113935,342040,1350660379,479780885,292,2,1
1784996616899113935,342041,7399662,12684032,6,1,1
