run_id,n_events,frac_neg_transport,min_transport_ms,median_transport_ms,frac_neg_schedlag,min_schedlag_ms,median_schedlag_ms,frac_neg_output,min_output_ms,median_output_ms,max_neg_fraction,trustworthy
concurrency_n10_20260617_162947_kafka_feed10_rep1,4465,0.014109742441209407,-7.0917,1.0009,0.0,2.5049,13364.5024,0.0,0.0,0.0,0.014109742441209407,False
concurrency_n10_20260617_162947_kafka_feed1_rep1,4465,0.010750279955207167,-8.002,1.0003,0.0,3.0416,13517.7306,0.0,0.0,0.0,0.010750279955207167,False
concurrency_n10_20260617_162947_kafka_feed2_rep1,4465,0.026203807390817468,-9.096,0.9999,0.0,3.5329,14014.51,0.0,0.0,0.0,0.026203807390817468,False
concurrency_n10_20260617_162947_kafka_feed3_rep1,4465,0.015005599104143338,-7.5719,1.0005,0.0,3.0214,13054.3229,0.0,0.0,0.0,0.015005599104143338,False
concurrency_n10_20260617_162947_kafka_feed4_rep1,4465,0.019260918253079507,-10.5638,0.9996,0.0,9.4487,12953.3853,0.0,0.0,0.0,0.019260918253079507,False
concurrency_n10_20260617_162947_kafka_feed5_rep1,4465,0.01948488241881299,-8.2678,0.9988,0.0,1.9987,13249.2541,0.0,0.0,0.0,0.01948488241881299,False
concurrency_n10_20260617_162947_kafka_feed6_rep1,4465,0.012318029115341545,-6.0574,1.0009,0.0,3.5558,12756.5467,0.0,0.0,0.0,0.012318029115341545,False
concurrency_n10_20260617_162947_kafka_feed7_rep1,4465,0.013437849944008958,-11.2327,0.9999,0.0,4.0133,12974.4638,0.0,0.0,0.0,0.013437849944008958,False
concurrency_n10_20260617_162947_kafka_feed8_rep1,4465,0.012989921612541993,-10.6736,1.0009,0.0,4.0078,12877.289,0.0,0.0,0.0,0.012989921612541993,False
concurrency_n10_20260617_162947_kafka_feed9_rep1,4465,0.01791713325867861,-14.1669,1.0006,0.0,4.0093,13054.2888,0.0,0.0,0.0,0.01791713325867861,False
concurrency_n10_20260617_162947_redis_feed10_rep1,4465,0.0022396416573348264,-61.3797,4523.6408,0.0,12.2973,3358.6796,0.0,0.0,0.0,0.0022396416573348264,True
concurrency_n10_20260617_162947_redis_feed1_rep1,4465,0.0029115341545352742,-59.7701,4565.1876,0.0,21.9276,3351.3701,0.0,0.0,0.0,0.0029115341545352742,True
concurrency_n10_20260617_162947_redis_feed2_rep1,4465,0.0073908174692049276,-39.9022,6599.5207,0.0,5.1165,1968.8518,0.0,0.0,0.0,0.0073908174692049276,True
concurrency_n10_20260617_162947_redis_feed3_rep1,4465,0.006494960806270996,-119.7374,5258.8495,0.0,12.7762,3197.9008,0.0,0.0,0.0,0.006494960806270996,True
concurrency_n10_20260617_162947_redis_feed4_rep1,4465,0.007166853303471445,-127.0066,5507.1787,0.0,3.0219,3141.73,0.0,0.0,0.0,0.007166853303471445,True
concurrency_n10_20260617_162947_redis_feed5_rep1,4465,0.003135498320268757,-44.4601,4729.7536,0.0,16.2442,3228.943356,0.0,0.0,0.0,0.003135498320268757,True
concurrency_n10_20260617_162947_redis_feed6_rep1,4465,0.00425531914893617,-50.1743,4514.2972,0.0,17.0834,3385.1792,0.0,0.0,0.0,0.00425531914893617,True
concurrency_n10_20260617_162947_redis_feed7_rep1,4465,0.006494960806270996,-30.4903,5338.4052,0.0,4.5702,2806.0492,0.0,0.0,0.0,0.006494960806270996,True
concurrency_n10_20260617_162947_redis_feed8_rep1,4465,0.0033594624860022394,-47.5079,6528.4823,0.0,4.4054,2004.208,0.0,0.0,0.0,0.0033594624860022394,True
concurrency_n10_20260617_162947_redis_feed9_rep1,4465,0.0033594624860022394,-78.0147,5277.6929,0.0,6.023,3170.9284,0.0,0.0,0.0,0.0033594624860022394,True
concurrency_n10_20260617_220303_kafka_feed10_rep2,4465,0.17446808510638298,-80.1563,4.0116,0.0004479283314669653,-1.5262,28.581434,0.0,0.0,0.0,0.17446808510638298,False
concurrency_n10_20260617_220303_kafka_feed10_rep3,4465,0.06539753639417693,-13.9166,3.4816,0.18521836506159015,-10.816033,6.0914,0.0,0.0,0.0,0.18521836506159015,False
concurrency_n10_20260617_220303_kafka_feed1_rep3,4465,0.09272116461366181,-19.9856,3.518,0.08197088465845465,-8.081933,10.781667,0.0,0.0,0.0,0.09272116461366181,False
concurrency_n10_20260617_220303_kafka_feed2_rep2,4465,0.12407614781634939,-30.0424,5.0779,0.0,1.0987,32.513467,0.0,0.0,0.0,0.12407614781634939,False
concurrency_n10_20260617_220303_kafka_feed2_rep3,4465,0.08824188129899216,-49.7443,3.0008,0.005599104143337066,-3.2991,15.611267,0.0,0.0,0.0,0.08824188129899216,False
concurrency_n10_20260617_220303_kafka_feed3_rep1,4465,0.025755879059350503,-21.7276,4.796,0.14400895856662935,-10.1666,8.6824,0.0,0.0,0.0,0.14400895856662935,False
concurrency_n10_20260617_220303_kafka_feed3_rep2,4465,0.12945128779395296,-34.0485,5.0275,0.0006718924972004479,-0.7416,26.021634,0.0,0.0,0.0,0.12945128779395296,False
concurrency_n10_20260617_220303_kafka_feed3_rep3,4465,0.05733482642777156,-25.4965,3.9936,0.03404255319148936,-5.228233,13.776734,0.0,0.0,0.0,0.05733482642777156,False
concurrency_n10_20260617_220303_kafka_feed4_rep2,4465,0.17446808510638298,-28.421,4.997,0.0,1.735,31.661867,0.0,0.0,0.0,0.17446808510638298,False
concurrency_n10_20260617_220303_kafka_feed4_rep3,4465,0.10884658454647256,-23.1003,5.0003,0.0,2.0137,40.5103,0.0,0.0,0.0,0.10884658454647256,False
concurrency_n10_20260617_220303_kafka_feed5_rep2,4465,0.14938409854423293,-28.6953,4.504,0.0006718924972004479,-1.2942,36.8921,0.0,0.0,0.0,0.14938409854423293,False
concurrency_n10_20260617_220303_kafka_feed5_rep3,4465,0.06651735722284434,-51.7476,3.4629,0.04165733482642777,-6.669833,11.464667,0.0,0.0,0.0,0.06651735722284434,False
concurrency_n10_20260617_220303_kafka_feed6_rep3,4465,0.07793952967525196,-39.2135,3.0023,0.06629339305711086,-8.4306,9.413367,0.0,0.0,0.0,0.07793952967525196,False
concurrency_n10_20260617_220303_kafka_feed7_rep2,4465,0.19283314669652857,-40.6755,4.5491,0.00022396416573348266,-0.153533,32.4774,0.0,0.0,0.0,0.19283314669652857,False
concurrency_n10_20260617_220303_kafka_feed7_rep3,4465,0.129003359462486,-25.5246,3.0477,0.0022396416573348264,-1.5766,16.891467,0.0,0.0,0.0,0.129003359462486,False
concurrency_n10_20260617_220303_kafka_feed8_rep1,4465,0.008734602463605823,-9.8343,3.174,0.2810750279955207,-13.0864,4.585834,0.0,0.0,0.0,0.2810750279955207,False
concurrency_n10_20260617_220303_kafka_feed8_rep2,4465,0.13751399776035833,-39.3347,6.4332,0.004479283314669653,-3.1175,31.9274,0.0,0.0,0.0,0.13751399776035833,False
concurrency_n10_20260617_220303_kafka_feed8_rep3,4465,0.13594624860022397,-25.7062,4.9989,0.01702127659574468,-6.0802,47.549634,0.0,0.0,0.0,0.13594624860022397,False
concurrency_n10_20260617_220303_kafka_feed9_rep3,4465,0.057782754759238525,-31.6724,3.107,0.0033594624860022394,-1.9548,14.613567,0.0,0.0,0.0,0.057782754759238525,False
concurrency_n10_20260617_220303_redis_feed10_rep1,4465,0.0004479283314669653,-53.4776,4506.1372,0.0,3.7782,204.835834,0.0,0.0,0.0,0.0004479283314669653,True
concurrency_n10_20260617_220303_redis_feed10_rep2,4465,0.0,0.0,4573.1731,0.0,4.0015,917.615934,0.0,0.0,0.0,0.0,True
concurrency_n10_20260617_220303_redis_feed10_rep3,4465,0.0004479283314669653,-41.4883,4561.9282,0.0022396416573348264,-3.1723,640.328,0.0,0.0,0.0,0.0022396416573348264,True
concurrency_n10_20260617_220303_redis_feed1_rep1,4465,0.007166853303471445,-154.569,4137.8507,0.0,3.2575,860.7354,0.0,0.0,0.0,0.007166853303471445,True
concurrency_n10_20260617_220303_redis_feed1_rep2,4465,0.005375139977603583,-123.19,5703.1407,0.0,1.4109,214.8834,0.0,0.0,0.0,0.005375139977603583,True
concurrency_n10_20260617_220303_redis_feed1_rep3,4465,0.0033594624860022394,-40.0309,5729.7265,0.017469204927211646,-6.551033,34.849067,0.0,0.0,0.0,0.017469204927211646,False
concurrency_n10_20260617_220303_redis_feed2_rep1,4465,0.00022396416573348266,-3.5316,3166.9705,0.0,136.2816,1523.012867,0.0,0.0,0.0,0.00022396416573348266,True
concurrency_n10_20260617_220303_redis_feed2_rep2,4465,0.0004479283314669653,-6.0564,3664.0595,0.0,6.5197,1601.580767,0.0,0.0,0.0,0.0004479283314669653,True
concurrency_n10_20260617_220303_redis_feed2_rep3,4465,0.00022396416573348266,-23.7667,3747.3332,0.0,1.7759,689.709367,0.0,0.0,0.0,0.00022396416573348266,True
concurrency_n10_20260617_220303_redis_feed3_rep1,4465,0.00425531914893617,-62.4892,4686.2982,0.0,2.800134,150.5193,0.0,0.0,0.0,0.00425531914893617,True
concurrency_n10_20260617_220303_redis_feed3_rep2,4465,0.0011198208286674132,-53.4485,5982.622,0.0,9.9974,337.220334,0.0,0.0,0.0,0.0011198208286674132,True
concurrency_n10_20260617_220303_redis_feed3_rep3,4465,0.00022396416573348266,-29.1637,1479.4191,0.0,2.094967,44.8114,0.0,0.0,0.0,0.00022396416573348266,True
concurrency_n10_20260617_220303_redis_feed4_rep1,4465,0.004479283314669653,-60.4305,4308.8048,0.009630459126539754,-5.7975,412.808867,0.0,0.0,0.0,0.009630459126539754,True
concurrency_n10_20260617_220303_redis_feed4_rep2,4465,0.0006718924972004479,-66.1255,4990.564,0.0,5.0006,569.667,0.0,0.0,0.0,0.0006718924972004479,True
concurrency_n10_20260617_220303_redis_feed4_rep3,4465,0.0015677491601343784,-84.3879,4681.1182,0.029787234042553193,-13.0243,492.9861,0.0,0.0,0.0,0.029787234042553193,False
