timestamp,backend,kafka_cpu_pct,kafka_mem_mib,redis_cpu_pct,redis_mem_mib
2026-06-12 19:24:23.901,kafka,193.46,1238.02,0.2,129.9
2026-06-12 19:24:26.023,kafka,2.97,1116.16,0.23,129.9
2026-06-12 19:24:28.005,kafka,22.16,1117.18,0.21,129.9
2026-06-12 19:24:30.017,kafka,2.13,1117.18,0.23,130.1
2026-06-12 19:24:32.017,kafka,1.57,1116.16,0.22,130.1
2026-06-12 19:24:34.033,kafka,1.59,1116.16,0.24,130.1
2026-06-12 19:24:36.048,kafka,1.83,1116.16,0.22,130.1
2026-06-12 19:24:38.048,kafka,1.59,1116.16,0.23,130.1
2026-06-12 19:24:40.065,kafka,1.67,1116.16,0.23,130.1
2026-06-12 19:24:42.069,kafka,1.61,1116.16,0.22,130.1
2026-06-12 19:24:44.098,kafka,1.63,1116.16,0.23,130.1
2026-06-12 19:24:46.096,kafka,1.73,1116.16,0.23,130.1
2026-06-12 19:24:48.109,kafka,1.61,1116.16,0.21,130.1
2026-06-12 19:24:50.111,kafka,1.84,1116.16,0.23,130.1
2026-06-12 19:24:52.121,kafka,1.66,1116.16,0.21,130.1
2026-06-12 19:24:54.153,kafka,1.58,1116.16,0.21,130.1
2026-06-12 19:24:56.150,kafka,1.82,1116.16,0.25,130.1
2026-06-12 19:24:58.163,kafka,1.75,1116.16,0.23,130.1
2026-06-12 19:25:00.170,kafka,1.99,1116.16,0.22,130.1
