timestamp,backend,kafka_cpu_pct,kafka_mem_mib,redis_cpu_pct,redis_mem_mib
2026-06-12 20:10:34.633,redis,1.57,1105.92,0.23,142.7
2026-06-12 20:10:36.823,redis,1.52,1105.92,16.53,143.6
2026-06-12 20:10:38.796,redis,1.41,1105.92,16.71,144.6
2026-06-12 20:10:40.803,redis,1.86,1105.92,0.23,144.6
2026-06-12 20:10:42.814,redis,1.61,1105.92,0.24,144.6
2026-06-12 20:10:44.831,redis,1.58,1105.92,0.24,144.6
2026-06-12 20:10:46.851,redis,1.53,1105.92,0.26,144.6
2026-06-12 20:10:48.837,redis,1.76,1105.92,0.25,144.6
2026-06-12 20:10:50.853,redis,1.78,1105.92,0.24,144.6
2026-06-12 20:10:52.869,redis,1.52,1105.92,0.27,144.6
