n,kafka_median,redis_median,n_kafka,n_redis,U,p,rank_biserial,p_holm,significant
1,17.448434,16.889217,4,4,10.0,0.6857142857142857,-0.25,0.6857142857142857,False
5,18.202534,801.1892,15,15,0.0,3.391821390825095e-06,1.0,6.78364278165019e-06,True
10,29.3128,5206.024567,19,30,0.0,5.28892575928325e-09,1.0,1.586677727784975e-08,True
20,1682.112367,13005.525399999999,57,60,86.0,8.522265090035911e-19,0.9497076023391813,3.4089060360143644e-18,True
