backend,n_groups,H,p,significant,medians,median_first,median_last,ratio_last_first
kafka,3,30.62880813813672,2.2337718783447006e-07,True,N=1:0.9992; N=5:1.001; N=10:1.002,0.9992,1.002,1.0028022417934348
redis,3,51.47142857142859,6.654589920668574e-12,True,N=1:1.006; N=5:1.197; N=10:1.346,1.0061,1.34625,1.3380876652420237
